scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.5607,0,2.5607,0,0,0,0,0.4973,0.24625,0,50%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_only,2.58025,0.8305,1.74975,0,0,0,0,0.3811,0.1521,0.32186803604301906,38%,1.7,32%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.57805,0.96075,1.6173,2,2.4,0,7,0.352,0.138,0.3726653866294293,35%,1.6,37%,2 (0-7),43,22,11,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.5806,1.3385,1.2421,12,28,0,102,0.2788,0.0962,0.5186778268619701,28%,1.2,52%,12 (0-100),500,250,130,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6023,1.47375,1.12855,21,36,1,115,0.24725,0.0831,0.5663259424355378,25%,1.1,57%,21 (1-120),650,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.60185,1.6747,0.92715,17,32,1,106,0.20685,0.0596,0.6436573976209237,21%,0.91,64%,17 (1-110),580,290,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.59235,1.57865,1.0137,28,43,1,134,0.2181,0.0769,0.6089648388527784,22%,1,61%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.60445,1.156,1.44845,4,15,0,57,0.3127,0.11865,0.4438557084989153,31%,1.4,44%,4 (0-57),270,140,68,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.56765,1.36925,1.1984,4,12,0,46,0.2703,0.08765,0.5332697213405254,27%,1.2,53%,4 (0-46),220,110,54,0,4,0.95,0.53,0.6,0.5
pop_testing,2.59215,0.05725,2.5349,0,0,0,0,0.49795,0.24425,0.022085913238045762,50%,2.5,2.2%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
