rr,rr_reduced,total_traced,inf_p
3,0,2,1
3,1,15,2
1,1,4,5
4,4,87,5
1,1,13,5
1,1,16,4
0,0,2,5
1,0,1,1
0,0,3,2
9,6,2,3
1,1,1,5
1,0,7,1
2,2,2,5
0,0,1,4
0,0,1,5
4,1,4,1
1,0,2,3
4,0,13,2
2,2,62,5
2,2,2,5
1,1,7,3
13,0,112,1
1,1,3,4
0,0,2,2
3,1,1,2
6,4,63,4
6,3,28,3
0,0,3,3
0,0,3,5
1,1,9,4
1,1,6,5
1,1,3,5
1,1,1,5
1,1,8,5
0,0,6,5
5,0,40,2
1,1,1,5
6,1,29,4
7,1,81,2
1,1,1,4
0,0,0,4
3,2,3,2
2,1,2,4
2,1,20,4
8,4,1,3
7,0,52,1
6,1,65,4
4,4,103,5
6,6,13,5
6,6,83,5
0,0,1,5
2,2,30,5
1,0,9,3
15,15,83,5
1,1,4,5
0,0,1,1
16,5,132,4
3,0,2,1
13,13,159,5
1,0,6,3
1,1,51,5
2,1,14,1
14,4,90,3
0,0,0,4
2,0,0,1
1,1,10,5
3,3,6,5
1,1,4,4
2,0,4,2
1,1,1,1
3,1,2,2
4,2,41,2
0,0,1,5
10,10,3,5
1,1,24,5
5,1,4,1
0,0,3,3
11,7,77,3
2,2,0,5
6,2,0,2
1,1,9,5
0,0,4,5
1,1,4,5
4,4,51,5
0,0,0,5
1,1,23,5
0,0,14,5
3,3,39,5
5,1,6,1
0,0,1,1
0,0,3,2
0,0,0,4
5,1,47,1
3,3,69,5
0,0,1,4
2,2,4,5
1,1,0,5
2,2,1,5
1,0,36,4
0,0,3,4
2,2,1,5
0,0,2,5
2,2,37,5
1,1,45,5
0,0,2,5
5,0,51,2
2,2,9,5
3,3,0,3
0,0,0,1
2,0,8,2
2,2,12,5
7,2,51,2
6,1,3,1
0,0,1,5
0,0,1,4
2,2,17,5
0,0,23,5
2,0,23,1
1,0,2,1
4,1,13,4
1,1,2,5
1,1,15,5
8,4,70,4
0,0,3,1
0,0,1,5
8,4,68,3
2,0,4,2
1,1,44,5
0,0,2,2
4,2,0,2
9,1,68,2
3,0,34,1
5,5,72,5
19,14,1,4
0,0,3,2
1,1,1,4
0,0,6,5
0,0,0,1
3,1,19,4
2,2,0,4
0,0,0,4
2,0,2,2
6,1,28,1
0,0,14,4
8,0,44,2
4,4,51,5
2,2,0,5
3,3,24,5
5,0,26,1
0,0,6,5
3,3,1,5
2,2,5,5
2,2,1,3
0,0,2,2
2,0,18,2
4,0,43,1
2,2,22,5
0,0,1,5
5,5,56,5
3,0,28,2
7,4,52,3
1,1,6,5
1,1,20,5
0,0,1,4
2,1,1,2
0,0,14,5
0,0,2,1
7,7,34,5
0,0,7,4
4,2,1,1
3,3,46,5
3,1,32,2
1,1,0,5
5,3,2,3
4,1,20,1
3,1,24,3
3,1,9,4
1,1,29,5
2,2,23,5
38,10,3,1
0,0,25,5
