rr,rr_reduced,total_traced,inf_p
3,0,32,4
6,0,36,3
0,0,2,4
5,1,131,1
4,4,78,5
2,2,6,5
9,3,58,4
2,0,24,3
9,9,245,5
1,0,10,1
6,0,72,2
5,5,222,5
9,2,152,4
0,0,2,4
3,3,13,5
2,2,28,5
3,3,29,5
1,1,63,5
0,0,18,5
1,1,8,5
21,1,167,1
1,1,53,5
2,0,21,4
0,0,5,4
0,0,0,1
0,0,1,5
2,0,28,1
2,1,13,4
4,2,47,4
6,6,122,5
2,0,12,2
2,2,26,5
1,1,36,5
1,0,9,1
1,0,6,1
2,2,99,5
1,0,4,3
12,1,92,2
0,0,3,4
4,1,55,3
2,2,32,5
0,0,1,1
1,0,9,3
6,1,90,4
7,0,38,1
2,0,16,3
3,0,19,2
0,0,1,5
0,0,0,3
0,0,1,2
2,1,11,3
2,2,24,5
0,0,4,4
1,1,22,5
2,2,7,5
1,0,8,2
2,2,10,5
0,0,1,1
1,1,61,5
2,0,28,1
3,0,21,3
7,3,24,3
3,3,20,5
2,0,10,2
5,5,47,5
1,1,20,5
1,1,34,5
0,0,3,5
7,3,13,2
0,0,16,2
3,0,16,2
3,0,25,2
9,2,130,4
1,1,28,5
1,1,49,5
0,0,2,5
7,7,168,5
3,1,49,4
3,3,5,5
1,1,23,5
2,0,19,1
0,0,0,2
0,0,15,5
3,0,82,2
1,1,24,5
2,2,28,5
0,0,14,5
17,1,166,4
8,1,59,2
4,0,61,1
2,2,28,5
2,2,9,5
0,0,23,5
12,0,221,2
0,0,0,5
4,0,60,2
3,0,17,2
2,1,29,3
0,0,2,5
14,14,173,5
2,2,17,5
7,1,69,2
2,2,37,5
0,0,12,1
1,1,2,5
3,3,23,5
1,1,37,5
2,0,9,3
0,0,0,5
0,0,0,1
1,0,25,4
4,1,45,3
0,0,18,5
3,1,17,1
0,0,7,5
3,0,53,1
1,1,12,5
3,1,24,4
0,0,8,5
1,0,34,4
0,0,7,5
2,2,13,5
0,0,1,5
0,0,5,5
6,2,101,1
3,0,18,4
4,1,48,3
2,2,9,5
6,1,69,3
0,0,10,5
1,0,9,3
0,0,36,4
2,0,30,2
4,4,87,5
3,0,40,1
0,0,42,5
0,0,6,5
0,0,5,5
1,1,26,4
8,1,130,3
0,0,10,5
1,1,17,5
1,1,13,5
4,4,24,5
2,2,26,5
0,0,4,5
3,0,5,4
1,1,18,5
7,7,51,5
6,0,72,4
5,5,87,5
1,1,18,5
4,4,56,5
3,0,14,1
0,0,2,1
0,0,3,1
3,0,39,1
2,0,13,1
3,1,29,4
1,1,8,5
1,0,21,1
0,0,1,5
1,1,5,2
2,2,48,5
0,0,5,5
0,0,18,5
0,0,38,1
5,5,42,5
0,0,2,2
0,0,6,1
2,2,24,5
3,1,21,3
4,0,31,1
0,0,19,3
5,0,52,1
1,0,15,1
0,0,9,2
2,0,59,4
1,1,4,5
2,1,78,3
0,0,1,5
0,0,8,4
0,0,13,1
5,0,57,3
4,2,19,4
5,5,151,5
1,0,3,3
0,0,1,5
9,1,118,4
3,0,14,3
1,1,17,5
2,2,51,5
3,0,39,1
2,0,19,4
3,0,23,2
6,0,46,4
1,1,13,5
0,0,0,5
4,1,113,3
6,0,51,3
0,0,0,5
1,1,14,3
0,0,2,5
3,3,71,5
7,4,40,3
2,2,31,5
0,0,16,5
0,0,34,3
0,0,3,4
1,1,2,5
0,0,2,5
1,1,10,5
29,2,324,1
12,1,112,4
7,7,68,5
6,0,33,1
0,0,33,1
1,0,6,1
1,0,22,4
3,0,21,4
2,0,41,2
1,0,9,3
1,1,26,5
2,2,30,5
1,0,5,2
4,4,16,5
2,0,9,3
3,1,15,3
0,0,7,5
0,0,2,1
3,3,17,5
1,0,3,1
4,4,50,5
0,0,8,5
3,3,23,5
3,0,27,1
3,0,20,1
2,1,2,4
1,0,34,3
0,0,22,4
1,0,20,1
10,10,92,5
0,0,2,3
3,0,27,3
8,1,77,2
1,0,9,3
3,1,66,4
4,0,29,1
0,0,0,3
3,0,14,2
5,5,47,5
3,3,68,5
3,0,39,3
3,0,88,1
1,0,59,4
0,0,36,5
7,3,68,3
3,0,15,4
1,0,2,1
1,0,5,4
1,0,9,4
1,0,8,4
1,1,15,5
0,0,0,5
0,0,4,5
6,2,29,3
0,0,10,5
0,0,6,4
1,0,7,2
0,0,6,5
0,0,2,4
3,1,19,4
1,0,18,2
5,3,49,3
0,0,7,4
6,2,69,2
7,2,77,4
1,1,9,5
5,3,76,4
6,0,75,4
1,0,14,3
4,0,16,2
1,0,19,4
0,0,4,4
0,0,1,5
2,0,5,2
4,1,88,1
1,0,34,2
1,1,57,5
0,0,0,1
0,0,25,5
5,1,44,1
1,1,33,5
0,0,0,1
4,1,69,4
1,0,39,1
2,1,16,4
5,5,87,5
2,0,25,1
2,2,11,5
2,0,23,2
3,0,25,1
6,6,94,5
1,1,4,5
1,1,31,5
1,1,24,5
2,2,34,5
1,1,28,5
6,6,101,5
4,0,52,2
2,2,50,5
1,1,29,5
0,0,7,5
0,0,11,5
1,1,38,2
1,1,11,5
1,0,13,4
3,3,77,5
6,3,40,3
1,0,3,4
2,2,66,5
0,0,18,5
17,1,148,1
0,0,0,2
1,0,12,4
2,0,46,2
1,0,19,2
6,5,68,4
4,0,48,1
3,0,35,2
1,1,15,5
0,0,2,5
13,2,145,1
8,8,118,5
3,3,24,5
0,0,4,2
1,0,11,3
3,0,26,2
7,7,137,5
1,0,3,1
2,2,33,5
1,1,74,5
1,1,12,5
1,0,53,4
6,0,49,1
1,0,7,3
1,1,21,5
0,0,5,4
4,4,35,5
8,2,74,1
0,0,15,5
0,0,0,3
0,0,12,5
1,0,9,4
3,3,23,5
2,2,22,5
0,0,5,2
1,1,3,5
2,2,10,5
3,0,16,1
1,1,29,5
3,3,95,5
5,2,31,4
0,0,66,5
0,0,8,5
0,0,10,4
1,1,10,5
5,0,55,1
0,0,3,1
10,4,83,3
3,0,6,2
0,0,10,3
1,1,13,5
2,2,33,5
5,5,127,5
5,0,48,3
2,0,40,2
1,0,10,3
11,1,117,4
5,1,32,2
0,0,2,4
23,5,280,3
2,0,9,2
0,0,3,5
0,0,14,5
5,2,27,3
0,0,1,2
4,2,38,1
1,0,6,2
1,0,19,4
5,1,36,4
0,0,4,5
2,2,26,5
2,0,19,1
3,1,17,4
2,0,16,2
4,4,70,5
0,0,9,5
1,1,66,5
3,1,27,4
3,1,17,4
1,0,10,3
1,1,33,5
0,0,0,5
0,0,51,5
31,6,417,4
1,0,2,2
1,0,1,4
0,0,4,2
0,0,32,5
1,0,17,2
1,0,22,1
0,0,18,5
5,0,46,2
2,2,6,5
0,0,22,1
0,0,15,5
3,1,29,3
0,0,7,5
8,2,110,2
0,0,1,4
1,0,2,2
0,0,5,5
9,3,128,3
0,0,16,5
0,0,26,3
1,1,16,5
7,1,62,3
0,0,3,4
1,1,13,5
2,0,6,2
1,0,2,2
1,1,27,5
1,1,5,5
4,0,36,4
1,0,9,2
11,2,83,3
2,0,30,3
3,1,14,3
2,2,39,5
1,0,29,4
8,1,115,1
0,0,4,4
0,0,0,5
1,0,10,2
0,0,19,5
2,0,59,3
1,0,4,1
1,1,14,5
3,0,50,1
1,1,33,5
8,8,133,5
0,0,0,4
1,1,5,5
1,0,11,2
1,0,4,2
3,1,34,3
1,0,12,2
0,0,14,2
2,2,22,3
1,0,10,2
6,1,37,1
6,1,41,3
3,3,33,5
3,1,42,4
2,2,29,5
0,0,0,5
2,2,20,5
1,0,3,4
3,1,15,4
4,4,73,5
3,0,53,2
4,4,42,5
1,0,17,2
6,0,33,3
19,2,135,2
19,19,641,5
2,2,63,5
0,0,3,1
2,0,10,3
2,0,5,2
0,0,5,4
2,0,15,4
2,0,35,3
4,0,29,2
1,1,13,5
1,0,36,2
1,0,23,1
8,2,70,4
0,0,0,3
44,5,574,4
0,0,17,5
0,0,0,5
2,2,35,5
1,0,11,1
3,3,126,5
9,9,115,5
1,0,9,4
2,0,57,4
8,8,59,5
3,0,24,3
2,2,67,5
5,5,99,5
0,0,23,5
2,2,48,5
3,1,22,3
4,4,50,5
0,0,10,1
1,1,25,5
11,2,80,3
3,3,31,5
8,0,61,3
1,1,38,5
3,1,45,4
3,3,65,5
2,2,44,5
1,0,3,2
0,0,2,5
0,0,7,4
1,1,58,5
4,0,63,1
0,0,14,5
0,0,8,5
7,7,22,5
4,0,25,2
0,0,8,1
1,1,3,2
1,1,20,5
4,4,61,5
1,1,46,2
2,2,26,5
3,3,21,5
0,0,0,5
1,1,13,5
6,6,168,5
5,5,59,5
0,0,12,2
4,1,44,4
0,0,4,5
2,2,28,5
8,3,72,4
13,2,111,1
0,0,2,3
2,0,38,2
0,0,15,5
0,0,0,5
1,1,27,5
1,0,13,2
1,1,14,5
1,0,17,2
0,0,19,5
1,1,61,5
0,0,0,5
1,1,94,5
1,1,47,5
3,0,35,2
4,2,30,2
0,0,0,5
8,1,39,2
2,2,30,5
1,1,11,5
2,2,24,5
1,1,12,5
1,1,15,5
1,1,9,5
1,0,14,3
0,0,0,5
3,1,47,3
1,0,31,1
0,0,0,4
0,0,0,5
9,2,87,3
1,1,25,5
5,2,23,3
6,0,58,4
1,0,43,3
2,0,5,4
6,6,118,5
1,0,20,3
5,1,68,2
2,0,10,1
0,0,16,5
3,0,76,3
2,0,20,4
0,0,8,4
3,3,55,5
3,0,8,2
0,0,1,4
3,3,32,5
4,0,56,3
5,0,71,1
0,0,0,3
3,0,14,3
3,0,37,1
2,2,28,5
3,3,111,5
6,5,26,4
5,0,32,3
1,1,6,5
15,0,130,1
1,0,39,1
5,5,104,5
2,2,16,5
2,2,44,5
3,3,91,5
0,0,9,5
1,0,13,4
1,0,16,1
1,1,26,5
1,0,19,2
4,4,45,5
0,0,8,1
1,1,17,5
3,3,105,5
3,0,14,2
1,0,4,1
1,1,15,5
1,0,16,2
3,0,45,4
4,4,51,5
1,1,9,5
3,3,95,5
6,6,25,5
15,15,205,5
1,1,66,5
5,5,22,5
1,1,48,5
13,5,125,4
22,5,216,3
1,1,43,4
2,1,21,4
4,0,27,4
0,0,1,5
1,1,24,5
3,3,43,5
0,0,0,5
2,0,5,3
12,12,127,5
0,0,0,2
2,0,50,2
1,0,30,2
0,0,2,2
1,0,1,4
1,1,5,5
3,3,37,5
1,0,5,4
3,3,43,5
5,1,18,2
5,1,94,4
0,0,6,4
0,0,13,2
3,1,50,3
10,1,76,3
6,0,46,3
5,0,41,3
2,0,12,1
1,1,33,5
4,0,45,1
0,0,25,5
4,0,24,4
3,1,28,2
4,4,43,5
1,0,16,1
0,0,32,5
1,1,5,5
0,0,15,4
0,0,1,1
1,1,32,5
7,3,70,4
1,1,16,5
0,0,10,1
5,5,68,5
5,1,25,3
3,3,33,5
3,3,33,5
0,0,0,5
1,1,35,5
1,1,28,5
1,0,18,2
1,1,8,5
0,0,5,2
5,5,82,5
2,0,7,3
1,1,48,5
5,5,57,5
1,0,2,4
0,0,4,5
1,1,9,5
1,1,20,5
0,0,5,5
6,0,58,1
4,4,30,5
2,0,28,1
1,1,10,5
6,1,80,1
5,0,101,2
3,3,96,5
2,2,51,5
0,0,0,4
0,0,10,5
0,0,10,4
0,0,25,3
3,1,9,2
1,1,39,5
0,0,39,5
5,5,107,5
12,3,104,3
2,2,22,5
1,0,1,4
3,1,24,2
0,0,5,5
0,0,2,2
6,1,90,1
1,1,68,5
0,0,4,5
2,2,27,5
4,1,18,4
2,0,26,3
2,0,31,1
9,1,90,3
0,0,9,5
1,0,13,3
1,1,17,5
3,3,47,5
0,0,21,5
4,4,41,5
7,2,137,4
0,0,2,4
4,4,76,5
4,3,85,4
3,1,14,4
2,0,13,1
0,0,22,5
8,3,71,4
3,0,37,1
3,3,68,5
0,0,3,5
8,2,69,3
0,0,5,2
5,5,119,5
0,0,13,1
4,2,44,3
3,0,22,3
3,0,17,3
0,0,7,5
0,0,17,5
2,2,55,5
3,1,45,4
0,0,4,5
1,1,4,2
9,9,192,5
7,2,39,1
2,2,21,5
1,1,52,5
3,1,60,2
2,1,53,4
3,1,28,1
5,5,23,5
0,0,0,1
1,1,29,5
2,0,16,2
4,0,29,1
7,2,81,3
0,0,13,5
3,3,88,5
1,0,5,1
4,4,85,5
0,0,2,5
2,0,34,1
1,1,8,5
3,3,51,5
3,0,15,1
0,0,19,5
0,0,1,3
0,0,5,5
5,0,10,1
0,0,11,5
1,1,35,5
1,1,2,5
0,0,1,2
1,1,15,5
5,2,105,3
5,0,61,2
1,0,1,3
1,1,29,2
1,0,4,4
0,0,23,5
0,0,1,4
2,0,10,1
1,1,12,5
0,0,15,5
0,0,5,5
0,0,22,2
11,2,205,3
1,0,50,2
5,1,35,1
9,0,63,3
1,1,7,5
2,0,26,4
0,0,15,5
4,0,25,2
1,1,55,5
3,3,16,5
1,0,10,4
1,0,3,2
0,0,2,5
3,3,48,5
0,0,1,4
4,2,53,4
1,0,27,2
1,0,29,2
1,1,25,5
1,1,9,5
5,5,80,5
1,1,19,5
1,1,17,5
3,3,54,5
0,0,28,5
1,1,8,5
6,1,48,1
5,2,48,2
12,1,98,2
2,2,18,5
0,0,1,5
3,3,51,5
1,0,15,4
1,1,43,5
0,0,4,2
4,4,60,5
2,2,16,5
2,0,46,2
3,3,53,5
2,2,23,5
0,0,10,3
8,1,40,2
0,0,0,3
1,1,46,5
0,0,28,5
2,2,51,5
1,0,25,3
0,0,6,5
1,1,5,5
7,4,65,4
0,0,2,5
11,1,109,2
0,0,3,2
2,1,3,3
2,0,17,4
3,1,63,4
0,0,4,5
1,0,10,4
5,5,115,5
2,0,17,4
0,0,13,5
1,1,8,5
2,2,37,5
0,0,6,5
5,1,73,2
1,1,10,5
0,0,2,4
1,1,5,5
5,0,50,2
8,8,124,5
4,2,9,4
0,0,1,2
5,0,44,2
3,3,37,5
1,1,12,5
1,0,8,1
2,0,9,1
0,0,12,3
5,5,62,5
0,0,0,4
4,0,39,1
9,9,169,5
2,2,30,5
0,0,15,5
0,0,22,5
3,0,41,2
4,1,72,4
1,0,11,1
2,2,41,5
3,1,7,2
1,1,8,5
8,4,49,4
2,0,34,2
8,2,68,4
0,0,1,1
7,7,60,5
0,0,7,5
1,0,12,1
12,0,87,1
1,1,26,4
2,2,2,5
1,0,4,2
1,1,6,5
1,0,39,2
1,1,8,5
43,7,498,3
0,0,3,1
2,2,3,5
0,0,1,2
8,1,162,1
2,0,33,3
2,2,38,5
2,0,24,3
1,0,2,4
2,2,15,5
0,0,1,5
3,3,139,5
10,1,110,1
1,1,19,5
0,0,12,5
2,2,16,4
0,0,2,4
0,0,30,5
3,3,89,5
4,0,28,2
12,12,202,5
1,1,11,5
5,0,76,1
1,1,22,5
0,0,1,1
1,0,13,4
1,1,15,5
1,0,5,2
0,0,2,5
1,1,12,5
1,1,34,5
5,1,47,4
3,3,34,5
5,2,89,4
0,0,2,4
7,2,56,2
0,0,4,2
3,0,31,4
1,1,10,5
0,0,20,5
0,0,13,4
4,2,31,4
2,2,72,5
8,0,119,4
0,0,3,2
4,1,52,4
0,0,5,5
1,0,24,1
5,1,51,4
2,2,65,5
0,0,2,4
2,0,10,4
5,5,64,5
2,1,28,4
1,1,3,5
2,0,4,2
1,0,15,2
0,0,3,3
2,0,35,4
3,3,74,5
3,0,31,1
3,1,33,3
11,1,130,2
2,2,40,5
2,0,24,1
5,1,24,4
0,0,3,4
0,0,22,5
6,2,36,4
19,2,107,1
3,3,63,5
0,0,13,5
2,2,30,5
0,0,9,5
13,0,250,1
7,7,164,5
3,1,15,3
8,8,189,5
1,0,3,1
1,1,11,5
0,0,19,1
6,0,37,2
3,1,10,4
0,0,10,5
11,1,229,2
60,3,911,1
0,0,4,5
2,2,58,5
2,2,8,5
0,0,0,3
2,2,27,5
11,11,187,5
4,0,15,2
1,1,59,5
2,0,12,4
0,0,0,5
0,0,9,1
2,2,13,5
0,0,4,1
4,4,66,5
7,4,38,4
0,0,45,5
9,1,138,4
2,2,116,5
2,0,19,1
0,0,0,5
1,1,27,5
1,1,9,5
12,12,179,5
7,1,73,4
15,1,251,2
5,2,26,3
2,0,30,4
1,0,20,2
3,1,45,3
1,0,61,3
6,0,65,1
4,4,26,5
1,0,10,4
4,4,38,5
0,0,11,2
0,0,2,5
0,0,13,5
2,2,24,5
2,2,16,5
3,3,45,5
3,1,32,4
0,0,28,2
0,0,14,5
1,1,16,5
4,4,271,5
1,0,23,4
5,5,92,5
1,0,22,1
3,3,39,5
0,0,2,5
1,1,20,5
1,1,44,5
6,1,111,1
7,7,116,5
5,3,32,4
1,1,21,4
0,0,13,5
0,0,44,5
1,0,19,4
2,0,5,4
0,0,8,3
0,0,0,2
7,0,136,2
3,0,23,1
1,0,2,3
1,1,25,5
2,2,8,5
2,2,23,5
3,3,30,5
7,7,24,5
1,1,69,5
4,0,8,4
2,1,14,3
4,0,61,2
2,2,8,5
6,0,43,4
2,0,47,1
0,0,8,2
7,7,114,5
6,0,40,3
1,0,7,2
6,0,57,2
4,0,52,1
3,0,57,4
0,0,38,2
2,0,27,3
5,0,79,2
1,1,36,5
3,1,35,3
0,0,21,5
4,4,56,5
4,0,88,1
0,0,34,5
0,0,4,4
0,0,7,5
5,2,41,4
2,0,17,4
2,0,39,1
8,2,83,3
1,0,5,3
0,0,25,5
1,1,9,5
2,0,17,2
4,4,44,5
2,2,39,5
1,1,8,5
8,1,96,1
6,0,60,1
3,3,91,5
13,3,89,4
4,0,31,2
3,1,6,2
4,0,33,2
2,2,79,5
1,0,18,3
2,2,22,5
8,1,79,1
2,0,14,1
2,1,35,3
2,1,42,3
0,0,21,1
2,0,26,2
5,2,75,2
0,0,6,5
0,0,1,5
1,0,34,2
0,0,14,5
0,0,36,4
0,0,4,5
3,3,17,5
1,1,22,5
0,0,30,2
1,1,42,5
0,0,21,5
3,3,115,5
0,0,5,5
4,3,29,4
0,0,14,5
4,0,53,1
5,1,54,4
6,0,61,4
1,0,4,4
5,0,21,1
3,3,66,5
1,0,19,2
0,0,2,2
8,2,161,4
6,0,57,3
6,6,121,5
6,3,62,4
7,7,220,5
3,0,38,1
0,0,5,4
2,2,31,5
2,2,4,5
3,0,47,2
2,0,16,1
0,0,12,5
2,2,12,4
0,0,4,5
1,1,20,5
3,3,27,5
13,1,99,4
5,3,44,4
3,1,7,4
4,4,14,5
2,2,15,5
0,0,3,4
0,0,6,4
6,6,54,5
1,1,3,5
0,0,3,4
18,1,226,4
1,1,14,5
3,1,35,1
0,0,12,4
4,1,13,4
1,0,30,4
1,0,2,3
2,0,51,2
6,1,59,1
1,1,56,5
2,2,19,5
4,0,26,1
4,0,69,2
3,0,77,2
0,0,3,2
0,0,6,5
3,3,91,5
0,0,29,5
3,1,16,4
3,3,64,5
0,0,1,5
1,1,48,5
3,0,38,4
5,0,17,2
0,0,11,4
1,0,13,3
1,0,9,1
3,3,50,5
1,1,11,5
6,0,78,1
9,4,63,4
1,0,7,1
1,0,12,4
5,5,59,5
2,2,10,5
0,0,53,5
1,0,3,4
1,1,5,5
0,0,1,3
1,1,21,5
0,0,7,5
0,0,1,2
1,0,9,1
1,1,40,5
3,2,18,4
1,1,14,5
2,2,56,5
