scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.57935,0,2.57935,0,0,0,0,0.5018,0.24965,0,50%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_only,2.58145,1.3088,1.27265,0,0,0,0,0.2831,0.096,0.5070018787890527,28%,1.3,51%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.58355,1.3825,1.20105,2,2.5,0,7,0.2691,0.09115,0.5351164095914536,27%,1.2,54%,2 (0-7),45,23,11,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.5438,1.52945,1.01435,12,27,0,100,0.21955,0.0766,0.6012461671515056,22%,1,60%,12 (0-100),490,240,120,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.5779,1.5934,0.9845,21,35,1,113,0.21145,0.07395,0.6181000038791264,21%,0.99,62%,21 (1-110),630,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.60945,1.7966,0.81285,18,32,1,108,0.17235,0.05355,0.6884975761175727,17%,0.8,69%,18 (1-110),580,290,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.56325,1.63905,0.9242,28,43,1,133,0.2006,0.0752,0.6394421145030722,20%,0.93,64%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.62065,1.4947,1.12595,4,14,0,58,0.2455,0.08685,0.5703546829984927,25%,1.1,57%,4 (0-58),250,130,63,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5876,1.63445,0.95315,5,12,0,46,0.2079,0.06215,0.6316470861029526,21%,0.95,63%,5 (0-46),220,110,54,0,4,0.95,0.53,0.6,0.5
pop_testing,2.53035,0.0548,2.47555,0,0,0,0,0.4883,0.239,0.02165708301223146,49%,2.5,2.2%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
