scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.5632,0,2.5632,0,0,0,0,0.50725,0.24385,0,51%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_only,2.5684,1.19365,1.37475,0,0,0,0,0.3073,0.1124,0.4647445880703941,31%,1.4,46%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.5575,1.27125,1.28625,2,2.4,0,7,0.2866,0.1042,0.497067448680352,29%,1.3,50%,2 (0-7),43,22,11,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.578,1.47805,1.09995,13,28,0,102,0.2398,0.087,0.5733320403413499,24%,1.1,57%,13 (0-100),500,250,130,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.63475,1.62335,1.0114,22,36,1,117,0.2222,0.07945,0.6161305626719802,22%,0.98,62%,22 (1-120),650,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.56815,1.7241,0.84405,18,32,1,104,0.18745,0.0575,0.6713392909292681,19%,0.84,67%,18 (1-100),580,290,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5713,1.6338,0.9375,28,43,1,133,0.2039,0.0761,0.6353984365884962,20%,0.93,64%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.57765,1.3679,1.20975,4,14,0,57,0.2662,0.0969,0.5306771671871666,27%,1.2,53%,4 (0-57),250,130,63,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5766,1.567,1.0096,5,12,0,45,0.2259,0.0737,0.6081657998913297,23%,1,61%,5 (0-45),220,110,54,0,4,0.95,0.53,0.6,0.5
pop_testing,2.59215,0.0643,2.52785,0,0,0,0,0.4973,0.24475,0.024805663252512433,50%,2.5,2.5%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
