e_home,e_work,e_other
1,4,2
3,6,27
0,5,0
3,2,9
1,14,2
2,2,0
5,5,21
0,0,3
3,11,2
0,9,4
3,2,6
2,0,1
3,12,2
2,8,5
1,2,3
2,9,2
1,17,0
2,0,4
0,8,5
1,3,8
1,0,8
3,0,9
4,4,0
4,2,0
4,0,6
2,9,0
1,0,0
1,0,10
2,2,0
3,0,2
2,5,12
1,4,10
2,1,0
2,2,48
1,2,4
0,7,0
1,0,3
4,0,0
3,0,0
0,0,4
0,2,4
3,0,10
2,0,3
3,11,0
3,0,0
4,5,2
2,3,0
3,0,5
4,4,69
1,27,4
1,10,8
2,0,23
2,0,11
1,0,0
2,7,0
2,0,20
3,0,4
3,5,0
5,8,1
5,3,5
1,0,2
4,11,0
1,0,3
1,6,5
3,0,0
2,0,0
1,13,2
1,7,9
0,16,0
0,2,4
1,0,1
0,1,13
1,3,2
2,2,0
1,0,1
3,1,6
1,2,0
1,0,1
0,11,0
3,10,15
1,1,15
0,0,2
3,13,6
1,4,0
3,0,2
2,49,13
1,8,4
3,2,0
3,0,0
0,14,2
1,0,5
3,0,0
1,26,0
1,13,14
6,6,0
3,16,6
4,9,2
2,0,0
1,6,6
4,5,3
1,1,0
3,15,0
4,39,4
1,50,11
3,5,3
2,9,4
4,4,3
3,17,0
4,0,10
4,0,5
3,33,1
3,9,2
1,6,1
3,17,9
0,2,0
1,0,4
2,9,1
2,0,0
4,5,0
1,5,5
2,0,5
1,0,4
1,2,0
2,12,3
1,13,18
2,2,9
1,0,6
4,0,0
0,38,11
2,14,0
1,9,4
1,12,7
2,4,0
1,1,5
1,9,1
4,0,0
1,12,2
3,9,0
4,1,0
1,2,11
1,16,4
3,11,0
2,9,10
1,0,5
2,0,3
1,0,12
3,5,0
2,5,11
2,3,4
2,8,1
0,8,0
1,1,2
1,158,0
4,3,1
0,0,4
1,1,11
4,0,8
1,0,5
4,0,0
1,16,0
3,0,4
3,41,1
3,0,0
1,0,0
2,0,5
3,0,6
2,0,0
2,0,0
0,8,0
1,5,7
1,0,0
1,11,0
3,13,5
3,12,1
1,6,0
5,0,0
0,2,0
2,16,10
3,19,10
1,3,0
0,0,1
2,3,4
5,0,1
1,7,0
1,3,5
4,0,2
1,2,0
4,7,0
1,7,5
1,0,4
1,0,0
9,0,5
3,3,2
1,8,7
1,8,0
3,2,30
0,0,0
1,10,0
1,0,1
3,9,0
1,16,1
3,0,1
1,0,3
1,2,1
2,10,0
1,11,1
3,0,2
1,0,5
3,4,0
0,2,0
4,23,2
0,1,0
3,7,3
1,8,9
3,4,0
0,22,2
3,0,5
3,2,0
1,8,7
1,0,1
1,6,6
2,0,0
0,5,2
1,10,0
4,35,3
1,1,2
3,3,2
2,1,2
1,3,1
2,0,6
1,0,0
0,2,2
3,6,12
1,20,6
1,2,0
4,0,0
4,2,17
1,0,17
0,1,1
2,0,6
3,3,1
2,1,0
0,0,11
0,5,1
1,0,2
2,5,2
2,0,16
8,4,1
2,2,5
4,0,1
2,33,10
3,3,5
4,9,1
2,0,0
1,5,12
1,9,8
1,0,9
2,0,0
1,10,4
3,2,0
1,0,0
2,2,3
2,7,5
3,10,0
4,3,4
1,0,0
1,7,0
1,32,0
1,27,0
2,4,2
2,2,0
0,5,2
3,0,6
0,0,0
2,0,3
0,3,0
3,21,0
1,13,3
1,4,0
3,4,2
1,7,2
4,3,0
3,1,4
3,17,1
2,0,6
2,12,0
0,5,9
1,20,6
1,0,0
2,2,8
1,0,6
1,26,6
6,0,8
1,0,5
3,6,0
3,0,0
1,3,11
2,1,15
1,6,3
2,0,7
1,11,4
0,1,3
0,0,0
1,18,2
1,39,8
1,0,3
3,2,0
2,0,0
1,13,0
3,0,0
1,12,3
3,0,1
1,2,2
0,0,0
1,6,2
2,4,3
1,9,11
3,0,1
5,4,4
1,0,0
0,0,3
3,0,0
1,59,2
2,4,6
2,7,4
1,8,0
3,0,0
1,19,2
2,0,0
1,0,14
1,1,0
1,0,2
2,15,8
0,0,0
3,0,8
1,29,0
1,5,1
2,0,6
2,0,0
1,3,0
1,0,3
0,0,20
1,0,0
3,22,0
3,1,2
1,25,7
3,10,4
1,0,2
0,0,4
0,0,2
1,0,2
1,0,3
3,0,5
0,14,8
5,2,2
3,0,4
1,13,0
2,5,5
1,0,9
3,0,2
3,0,0
1,3,0
1,45,0
3,22,2
1,0,0
0,17,0
0,4,4
1,0,2
0,0,4
0,0,3
1,20,0
2,7,0
1,5,1
1,17,0
1,0,0
2,1,3
1,2,17
2,0,2
0,15,0
1,7,7
0,2,7
2,1,3
3,0,4
2,3,0
1,7,0
1,2,9
3,4,4
0,6,3
1,11,5
4,0,57
1,6,4
0,0,8
1,14,1
3,2,5
1,11,6
3,0,0
0,0,0
1,1,0
1,4,0
1,13,0
0,0,7
3,0,22
2,0,6
3,3,13
3,2,1
2,0,0
5,25,4
2,5,5
5,1,3
1,8,12
3,1,4
0,10,10
2,1,0
1,0,4
1,0,0
3,6,0
2,0,6
1,0,6
4,8,3
4,0,0
3,11,10
9,11,11
1,5,0
1,2,0
2,0,15
2,3,4
2,9,3
1,0,11
2,7,1
0,14,0
1,1,0
0,6,0
2,0,0
3,5,4
3,0,2
1,1,5
3,4,4
1,5,0
0,0,0
7,0,0
1,12,0
1,3,0
4,0,18
3,26,8
1,0,0
4,0,4
2,2,2
4,22,3
5,6,2
1,12,3
1,0,0
0,0,4
3,8,11
2,0,4
5,0,0
1,3,9
0,15,0
2,0,0
1,0,0
1,2,2
1,10,2
3,0,0
1,0,0
1,4,0
3,0,3
0,0,1
2,19,3
1,0,3
2,4,1
1,0,1
1,0,0
3,12,2
4,6,0
1,6,10
3,3,4
1,3,0
1,0,0
1,5,2
3,2,0
1,2,5
1,6,13
2,7,2
3,0,0
3,0,5
3,9,1
3,0,1
1,2,3
1,4,5
1,14,1
2,4,0
0,4,3
3,0,0
3,1,0
1,8,18
1,28,0
1,5,2
2,0,0
4,4,0
3,2,9
0,0,1
1,9,3
0,3,0
1,0,11
9,4,0
1,0,4
1,7,9
1,2,4
1,29,0
1,7,5
2,16,1
2,3,2
0,58,7
3,4,1
2,7,0
4,2,11
2,10,0
1,0,1
6,0,0
1,36,12
1,11,0
4,0,11
0,2,0
3,0,4
1,17,0
1,11,0
2,10,1
1,17,0
3,20,0
4,1,0
0,5,8
1,19,11
1,4,6
2,4,3
3,0,2
3,0,3
3,0,1
2,10,2
3,0,6
3,3,3
0,0,3
4,1,14
3,0,6
1,13,3
1,28,5
2,4,4
3,3,0
2,4,4
1,2,0
3,10,6
1,13,0
3,0,3
3,8,0
1,1,0
1,1,3
1,24,2
4,6,1
1,20,2
1,1,5
2,0,16
1,0,1
0,0,8
1,0,0
2,0,4
2,11,0
1,3,0
3,0,0
0,2,2
0,16,0
1,4,14
0,50,0
1,0,4
0,0,8
1,3,0
3,11,2
1,0,7
0,18,18
0,23,2
0,10,0
3,0,8
1,6,0
3,9,2
1,3,14
3,7,18
3,0,0
1,42,0
3,0,0
3,6,13
3,15,7
2,0,3
4,17,2
1,8,6
0,60,0
2,5,0
4,0,4
4,21,1
0,0,1
2,0,0
3,14,4
1,7,0
3,13,0
2,2,8
0,0,4
5,0,2
2,0,1
2,4,0
3,6,14
0,43,3
1,1,2
0,19,0
1,10,0
1,10,4
3,0,4
1,19,0
1,1,0
1,0,0
3,5,1
3,2,5
0,0,4
2,5,4
2,2,2
3,8,7
1,1,9
3,0,0
1,0,0
2,5,0
1,0,9
1,6,3
2,7,0
2,0,0
1,6,0
5,0,0
1,0,21
1,2,15
0,0,1
0,8,1
3,12,0
0,0,0
3,0,0
3,0,0
2,15,0
1,5,0
2,5,12
1,0,2
1,4,0
2,0,10
2,1,6
3,0,1
1,5,1
0,20,5
1,0,4
2,0,0
5,15,0
3,0,3
3,3,0
3,11,9
1,6,0
1,4,3
1,6,0
1,12,0
3,0,0
2,11,4
2,16,2
2,0,5
2,10,11
1,0,0
1,9,0
2,6,3
1,3,0
2,2,0
2,0,11
1,0,3
1,21,39
3,2,0
1,9,4
1,7,1
1,0,4
2,0,2
4,7,0
2,13,11
1,1,0
3,1,4
3,9,0
0,0,0
3,5,0
1,2,2
1,0,1
1,19,2
2,4,4
1,7,2
2,0,2
1,24,0
0,0,2
1,22,4
1,0,18
1,0,0
2,1,0
1,10,3
1,6,26
3,0,4
1,0,0
3,0,6
5,0,0
3,0,0
1,0,1
1,16,0
0,7,2
4,4,9
2,9,1
2,0,0
2,5,5
2,0,5
0,0,4
0,0,3
4,0,3
1,4,2
4,4,0
2,0,3
2,2,0
2,0,0
1,0,0
0,0,3
1,2,0
2,18,2
1,5,1
3,4,0
2,4,0
2,1,0
0,0,5
1,0,4
3,2,4
0,4,3
1,0,3
1,0,3
1,0,0
3,5,6
0,11,19
1,0,1
2,0,0
0,0,3
1,5,1
0,5,3
5,34,1
2,2,2
3,16,1
1,0,0
0,9,4
3,0,1
3,11,3
2,12,0
2,0,3
1,0,0
3,0,11
2,0,1
1,9,0
1,0,9
1,6,4
1,0,2
0,11,3
2,2,0
1,3,15
1,0,0
1,0,0
3,9,0
3,8,6
3,5,13
0,20,6
9,11,0
2,0,0
1,22,2
3,0,3
1,7,1
2,0,2
1,6,0
0,18,0
0,15,3
3,0,0
2,0,0
3,0,11
2,1,4
1,0,0
1,0,0
3,11,14
1,0,0
0,4,6
2,10,0
5,5,2
1,7,10
2,27,12
3,0,2
3,4,0
3,2,3
0,16,0
1,0,0
1,0,4
3,5,14
3,0,7
1,1,0
5,29,0
1,27,0
3,0,0
0,0,1
0,0,8
2,0,9
1,22,0
4,4,7
3,6,0
1,0,20
4,28,16
1,15,1
1,2,0
4,0,7
4,4,10
1,0,0
0,4,3
3,9,0
1,0,3
3,2,0
1,1,0
1,4,13
1,0,10
6,4,0
3,0,1
3,5,0
2,9,2
3,5,0
2,0,3
1,6,8
5,2,1
1,68,0
2,9,0
3,24,1
3,1,0
0,0,0
2,6,2
3,8,0
2,16,17
4,0,0
2,10,2
3,0,0
1,8,2
2,5,2
3,0,5
1,8,1
3,0,11
0,0,0
3,11,0
3,7,1
1,0,2
1,8,2
