e_home,e_work,e_other
4,4,2
1,6,27
3,5,0
1,2,9
0,14,2
2,2,0
3,5,21
5,0,3
0,11,2
2,9,4
3,2,6
2,0,1
3,12,2
7,8,5
7,2,3
2,9,2
0,17,0
0,0,4
0,8,5
1,3,8
1,0,8
9,0,9
0,4,0
0,2,0
4,0,6
2,9,0
1,0,0
0,0,10
2,2,0
2,0,2
2,5,12
1,4,10
2,1,0
3,2,48
1,2,4
0,7,0
1,0,3
4,0,0
8,0,0
0,0,4
1,2,4
8,0,10
2,0,3
2,11,0
3,0,0
0,5,2
2,3,0
0,0,5
0,4,69
0,27,4
2,10,8
4,0,23
4,0,11
3,0,0
1,7,0
5,0,20
3,0,4
2,5,0
2,8,1
0,3,5
1,0,2
4,11,0
1,0,3
1,6,5
0,0,0
4,0,0
1,13,2
0,7,9
0,16,0
0,2,4
1,0,1
0,1,13
0,3,2
3,2,0
1,0,1
6,1,6
1,2,0
2,0,1
1,11,0
3,10,15
2,1,15
0,0,2
0,13,6
1,4,0
5,0,2
0,49,13
2,8,4
5,2,0
7,0,0
0,14,2
1,0,5
3,0,0
1,26,0
2,13,14
7,6,0
0,16,6
4,9,2
2,0,0
1,6,6
0,5,3
0,1,0
1,15,0
4,39,4
1,50,11
3,5,3
2,9,4
6,4,3
1,17,0
2,0,10
9,0,5
1,33,1
3,9,2
3,6,1
2,17,9
0,2,0
1,0,4
2,9,1
3,0,0
4,5,0
8,5,5
0,0,5
2,0,4
3,2,0
2,12,3
1,13,18
2,2,9
1,0,6
4,0,0
0,38,11
0,14,0
2,9,4
3,12,7
3,4,0
0,1,5
1,9,1
5,0,0
1,12,2
0,9,0
4,1,0
1,2,11
1,16,4
3,11,0
2,9,10
1,0,5
1,0,3
1,0,12
8,5,0
3,5,11
1,3,4
2,8,1
1,8,0
0,1,2
7,158,0
4,3,1
0,0,4
0,1,11
4,0,8
0,0,5
3,0,0
1,16,0
2,0,4
3,41,1
0,0,0
1,0,0
0,0,5
3,0,6
3,0,0
4,0,0
0,8,0
1,5,7
1,0,0
3,11,0
3,13,5
0,12,1
3,6,0
0,0,0
0,2,0
3,16,10
2,19,10
1,3,0
0,0,1
5,3,4
7,0,1
1,7,0
1,3,5
0,0,2
1,2,0
4,7,0
0,7,5
3,0,4
4,0,0
7,0,5
3,3,2
1,8,7
0,8,0
3,2,30
0,0,0
2,10,0
1,0,1
0,9,0
13,16,1
3,0,1
2,0,3
1,2,1
2,10,0
4,11,1
7,0,2
1,0,5
5,4,0
0,2,0
0,23,2
0,1,0
6,7,3
2,8,9
3,4,0
2,22,2
4,0,5
1,2,0
0,8,7
1,0,1
1,6,6
4,0,0
0,5,2
1,10,0
2,35,3
0,1,2
6,3,2
1,1,2
8,3,1
3,0,6
1,0,0
3,2,2
2,6,12
2,20,6
1,2,0
2,0,0
4,2,17
1,0,17
0,1,1
2,0,6
16,3,1
2,1,0
0,0,11
2,5,1
1,0,2
3,5,2
4,0,16
8,4,1
3,2,5
7,0,1
4,33,10
0,3,5
6,9,1
2,0,0
2,5,12
1,9,8
3,0,9
4,0,0
1,10,4
5,2,0
0,0,0
2,2,3
2,7,5
0,10,0
1,3,4
2,0,0
0,7,0
3,32,0
2,27,0
1,4,2
2,2,0
0,5,2
6,0,6
0,0,0
1,0,3
0,3,0
3,21,0
2,13,3
2,4,0
3,4,2
0,7,2
7,3,0
3,1,4
5,17,1
3,0,6
0,12,0
0,5,9
5,20,6
1,0,0
1,2,8
1,0,6
2,26,6
3,0,8
1,0,5
5,6,0
3,0,0
2,3,11
2,1,15
2,6,3
2,0,7
2,11,4
0,1,3
0,0,0
3,18,2
3,39,8
1,0,3
7,2,0
2,0,0
0,13,0
1,0,0
4,12,3
3,0,1
0,2,2
1,0,0
2,6,2
3,4,3
5,9,11
1,0,1
4,4,4
1,0,0
3,0,3
4,0,0
1,59,2
3,4,6
0,7,4
1,8,0
1,0,0
0,19,2
4,0,0
0,0,14
1,1,0
0,0,2
2,15,8
2,0,0
5,0,8
2,29,0
0,5,1
3,0,6
3,0,0
2,3,0
6,0,3
0,0,20
1,0,0
3,22,0
1,1,2
2,25,7
1,10,4
3,0,2
6,0,4
1,0,2
1,0,2
0,0,3
6,0,5
0,14,8
1,2,2
0,0,4
1,13,0
0,5,5
1,0,9
0,0,2
6,0,0
2,3,0
1,45,0
3,22,2
0,0,0
2,17,0
0,4,4
11,0,2
3,0,4
0,0,3
1,20,0
2,7,0
1,5,1
1,17,0
11,0,0
1,1,3
4,2,17
1,0,2
2,15,0
0,7,7
0,2,7
10,1,3
4,0,4
4,3,0
0,7,0
1,2,9
1,4,4
1,6,3
1,11,5
3,0,57
1,6,4
0,0,8
1,14,1
2,2,5
1,11,6
11,0,0
0,0,0
0,1,0
0,4,0
2,13,0
1,0,7
1,0,22
0,0,6
1,3,13
4,2,1
2,0,0
11,25,4
4,5,5
0,1,3
1,8,12
7,1,4
0,10,10
1,1,0
2,0,4
2,0,0
6,6,0
6,0,6
0,0,6
1,8,3
4,0,0
1,11,10
9,11,11
2,5,0
1,2,0
2,0,15
5,3,4
2,9,3
1,0,11
2,7,1
3,14,0
1,1,0
0,6,0
3,0,0
4,5,4
1,0,2
1,1,5
3,4,4
0,5,0
0,0,0
7,0,0
5,12,0
0,3,0
3,0,18
0,26,8
0,0,0
0,0,4
3,2,2
5,22,3
7,6,2
1,12,3
3,0,0
0,0,4
7,8,11
1,0,4
5,0,0
1,3,9
0,15,0
2,0,0
1,0,0
0,2,2
1,10,2
5,0,0
0,0,0
3,4,0
0,0,3
0,0,1
1,19,3
1,0,3
2,4,1
1,0,1
1,0,0
10,12,2
4,6,0
1,6,10
6,3,4
1,3,0
2,0,0
0,5,2
5,2,0
1,2,5
1,6,13
2,7,2
5,0,0
6,0,5
6,9,1
0,0,1
7,2,3
2,4,5
0,14,1
0,4,0
0,4,3
0,0,0
4,1,0
10,8,18
3,28,0
4,5,2
3,0,0
4,4,0
4,2,9
0,0,1
1,9,3
0,3,0
1,0,11
0,4,0
1,0,4
1,7,9
0,2,4
1,29,0
1,7,5
4,16,1
2,3,2
0,58,7
3,4,1
1,7,0
6,2,11
0,10,0
2,0,1
0,0,0
3,36,12
5,11,0
0,0,11
0,2,0
0,0,4
1,17,0
1,11,0
0,10,1
3,17,0
3,20,0
4,1,0
2,5,8
1,19,11
1,4,6
5,4,3
2,0,2
1,0,3
8,0,1
0,10,2
3,0,6
6,3,3
2,0,3
1,1,14
0,0,6
1,13,3
1,28,5
3,4,4
4,3,0
0,4,4
4,2,0
2,10,6
1,13,0
5,0,3
5,8,0
5,1,0
3,1,3
1,24,2
8,6,1
4,20,2
5,1,5
9,0,16
1,0,1
1,0,8
12,0,0
1,0,4
7,11,0
4,3,0
4,0,0
0,2,2
2,16,0
2,4,14
8,50,0
1,0,4
0,0,8
3,3,0
1,11,2
3,0,7
1,18,18
1,23,2
0,10,0
2,0,8
1,6,0
4,9,2
2,3,14
2,7,18
5,0,0
1,42,0
0,0,0
4,6,13
1,15,7
2,0,3
0,17,2
1,8,6
0,60,0
4,5,0
2,0,4
0,21,1
0,0,1
0,0,0
3,14,4
2,7,0
2,13,0
1,2,8
0,0,4
4,0,2
2,0,1
2,4,0
3,6,14
0,43,3
1,1,2
3,19,0
0,10,0
5,10,4
3,0,4
1,19,0
1,1,0
1,0,0
0,5,1
1,2,5
8,0,4
1,5,4
2,2,2
0,8,7
1,1,9
1,0,0
1,0,0
1,5,0
1,0,9
1,6,3
2,7,0
4,0,0
1,6,0
