rr,rr_reduced,total_traced,inf_p
1,0,11,3
0,0,0,4
2,0,21,3
0,0,4,5
0,0,14,5
0,0,1,5
2,0,1,2
1,0,19,2
0,0,2,1
3,3,3,5
2,0,3,1
1,0,3,2
0,0,1,5
4,0,16,4
4,1,42,2
0,0,19,5
0,0,1,4
2,1,20,4
5,0,23,2
0,0,1,1
6,4,4,3
3,2,2,5
4,0,22,2
6,2,47,3
6,6,6,5
0,0,7,5
0,0,2,5
1,1,33,4
0,0,5,4
1,1,3,5
5,1,42,4
0,0,0,2
29,13,3,3
6,0,42,1
4,0,17,4
3,3,36,5
6,5,72,5
0,0,0,5
19,11,2,3
3,3,19,5
3,2,1,4
0,0,17,5
1,0,17,4
5,2,2,4
4,4,23,5
19,19,2,5
0,0,3,5
5,0,1,4
0,0,3,5
2,2,38,5
0,0,11,4
4,0,35,1
0,0,1,3
1,0,33,1
1,1,4,5
0,0,13,5
6,0,14,4
1,1,28,5
6,5,2,3
4,1,1,2
1,1,1,5
1,1,13,5
0,0,15,5
3,3,36,5
0,0,4,5
1,0,4,2
6,1,51,1
3,0,15,3
5,5,1,5
1,1,6,5
2,1,2,3
1,0,8,2
3,1,25,4
0,0,15,5
8,1,25,4
2,0,2,2
1,1,6,5
1,1,1,4
2,2,13,5
1,0,21,1
11,4,3,3
3,1,1,2
1,1,2,5
7,7,35,5
8,1,108,2
8,1,17,4
0,0,1,4
3,2,15,5
3,3,18,5
2,1,5,1
0,0,1,4
0,0,3,5
3,3,55,5
0,0,11,5
12,3,3,3
0,0,4,1
1,1,13,1
1,1,1,5
5,2,2,2
1,1,3,5
0,0,3,4
0,0,1,5
2,1,19,1
0,0,3,5
0,0,0,5
7,1,40,2
0,0,4,5
0,0,1,5
1,0,1,3
4,4,4,5
0,0,0,5
2,0,13,3
0,0,2,5
5,5,24,5
1,0,18,3
3,3,42,5
2,0,3,1
3,0,4,4
3,3,30,5
1,1,2,5
6,1,42,2
1,1,4,5
4,2,3,2
1,1,1,1
2,2,2,5
29,28,1,5
0,0,6,5
1,0,5,1
1,1,3,5
3,1,32,2
1,1,15,5
0,0,2,3
4,1,38,3
0,0,3,5
2,0,13,1
2,2,1,4
2,2,32,5
1,1,19,5
10,1,2,1
1,1,3,5
4,3,32,4
0,0,30,5
2,2,37,5
2,2,1,5
1,1,1,4
2,0,17,2
0,0,0,5
0,0,4,3
1,1,1,4
4,4,4,5
0,0,12,5
3,2,18,5
2,1,21,4
4,1,20,5
0,0,9,1
1,1,3,5
15,2,118,1
5,1,47,4
4,0,40,1
0,0,2,1
0,0,2,4
0,0,0,5
5,5,5,5
0,0,3,5
2,2,4,5
0,0,9,3
7,2,51,4
3,0,14,2
9,3,49,4
1,1,2,5
1,0,2,2
3,2,66,2
11,3,81,3
6,6,4,5
0,0,1,5
0,0,2,5
0,0,1,1
5,2,35,3
7,2,51,4
1,0,20,5
2,1,17,1
3,1,2,2
1,0,20,3
0,0,2,5
3,2,10,4
0,0,9,5
2,1,30,4
6,6,63,5
0,0,38,5
5,0,32,1
2,0,0,5
0,0,3,4
4,1,28,2
1,0,14,4
0,0,3,5
1,1,23,5
8,1,4,2
4,1,40,3
1,0,15,1
1,0,17,2
2,2,3,5
1,0,3,2
0,0,3,5
1,1,2,5
4,4,46,5
5,5,2,5
0,0,1,5
0,0,7,1
1,0,21,3
9,1,2,1
0,0,4,4
0,0,3,4
0,0,1,1
5,5,3,5
1,1,4,1
0,0,1,5
3,1,32,5
0,0,10,2
2,2,18,5
3,1,16,3
0,0,9,5
2,2,2,5
1,0,5,1
0,0,3,5
8,6,1,3
2,0,3,1
0,0,2,5
1,1,1,5
0,0,19,5
3,3,11,5
2,2,1,3
0,0,2,5
9,0,3,1
0,0,6,5
2,1,4,4
1,1,8,5
3,3,70,5
2,0,9,2
1,0,2,1
5,2,20,5
0,0,9,2
3,0,14,1
6,5,60,5
0,0,3,5
0,0,4,2
0,0,5,3
6,0,1,3
0,0,4,5
3,2,1,5
0,0,3,1
0,0,15,3
2,1,18,5
2,2,1,5
4,2,15,4
8,1,1,4
7,1,2,1
4,3,10,5
1,1,3,5
1,0,4,4
0,0,18,5
0,0,1,5
0,0,1,5
10,2,3,3
1,0,5,2
2,2,33,5
0,0,11,4
3,2,0,5
2,0,1,1
2,2,6,5
5,0,2,1
1,1,1,5
1,1,2,2
2,2,3,5
5,0,1,3
1,1,19,5
6,0,47,1
2,1,14,1
0,0,9,2
0,0,4,5
9,9,3,5
18,9,1,2
0,0,1,5
0,0,14,5
2,0,37,4
3,0,6,3
0,0,2,5
0,0,3,5
0,0,2,5
3,2,28,4
2,2,39,5
0,0,2,5
0,0,4,1
5,5,90,5
0,0,4,1
4,3,3,5
3,1,3,3
9,4,1,4
5,0,3,4
0,0,18,2
12,6,113,4
7,4,3,2
1,1,3,1
0,0,2,5
7,2,48,3
3,3,21,5
7,2,44,4
4,3,4,3
5,5,5,5
4,3,3,3
0,0,3,3
0,0,1,5
3,3,20,5
4,4,3,4
2,2,11,5
2,1,0,5
0,0,3,2
5,1,17,2
2,0,16,1
8,8,4,5
8,6,58,4
8,3,2,2
1,1,5,5
3,1,20,2
6,0,1,1
1,1,15,5
7,0,33,1
10,2,1,1
1,0,16,4
1,1,23,5
0,0,0,5
1,0,4,3
0,0,2,5
0,0,6,5
0,0,1,2
1,1,1,4
1,1,1,4
6,2,25,5
12,2,4,1
2,0,10,1
2,2,21,5
7,1,1,1
4,0,53,3
5,3,1,2
3,3,2,5
2,0,61,4
3,0,1,2
1,1,5,5
2,0,22,5
1,0,3,3
1,0,16,2
4,0,1,2
0,0,1,3
3,2,50,2
7,6,51,5
0,0,1,3
0,0,5,5
0,0,1,2
2,2,8,5
2,0,25,2
