rr,rr_reduced,total_traced,inf_p
2,2,38,5
2,0,25,2
0,0,1,3
5,1,54,4
2,0,39,2
0,0,2,4
0,0,1,5
1,1,27,5
1,1,76,5
11,1.2000000000000002,140,4
0,0,20,5
3,3,121,5
3,0,11,2
0,0,36,5
2,2,15,5
1,1,21,5
7,0,62,3
2,0,50,4
6,2,75,2
7,0,137,2
6,2,73,1
0,0,2,1
2,2,76,5
3,1.2,21,4
4,0,26,1
0,0,26,5
7,1.2000000000000002,49,4
1,1,56,5
0,0,6,5
3,3,58,5
8,2,155,3
3,3,29,5
0,0,21,5
9,1,116,1
7,7,41,5
2,2,61,5
0,0,24,5
1,1,25,1
5,0.40000000000000036,43,4
1,0,21,4
2,2,25,5
3,3,10,5
0,0,44,5
1,0,1,3
0,0,0,5
1,1,5,5
1,0,94,2
6,0.20000000000000018,70,4
8,0,94,2
0,0,1,4
3,2,65,3
2,0,60,1
5,5,64,5
10,1.5999999999999996,60,4
1,0,43,2
2,0,61,2
2,2,42,5
2,2,16,5
8,1,156,4
16,1,221,2
2,2,33,5
5,1,67,2
1,1,8,5
1,1,38,5
2,0,40,4
0,0,4,5
14,2,109,2
0,0,12,2
1,1,10,5
2,0,45,1
14,2,219,3
8,0.40000000000000036,126,4
0,0,1,5
7,2,126,1
1,0,2,1
8,1,127,3
0,0,34,5
0,0,8,3
1,0,3,2
0,0,1,3
4,0,31,4
1,0,41,1
0,0,11,5
3,3,111,5
1,1,9,5
4,0,47,4
0,0,1,1
0,0,3,2
6,1,84,4
8,0,135,2
2,2,8,5
1,0,21,1
1,0,24,1
3,1,25,2
2,2,82,5
0,0,6,2
0,0,3,5
4,0,95,3
0,0,11,3
3,3,21,5
4,0,82,3
4,0,66,2
1,1,8,5
2,2,50,5
1,0,34,1
2,2,24,5
13,2,258,3
2,2,18,5
4,4,53,5
0,0,12,5
2,2,32,5
3,0,69,1
0,0,1,3
1,1,52,5
1,1,40,5
4,4,42,5
1,0,14,2
5,0,47,1
1,1,35,5
2,1,38,4
3,0,32,2
0,0,1,5
1,1,6,5
0,0,48,5
0,0,9,5
0,0,48,5
2,2,49,5
6,0.7999999999999998,91,4
1,1,29,5
0,0,2,5
3,0,63,2
1,0,12,2
7,7,242,5
0,0,3,5
0,0,9,5
3,3,58,5
2,2,69,5
6,0,89,1
0,0,3,5
2,2,114,5
7,7,287,5
0,0,4,3
0,0,7,2
0,0,40,5
7,0,66,1
3,3,18,5
11,0,143,2
3,0,36,4
2,2,32,5
0,0,1,5
19,4,210,3
0,0,1,3
1,1,112,5
5,5,210,5
1,1,13,5
13,0,189,1
0,0,7,5
3,2,12,2
2,2,57,5
1,0,52,1
1,0,1,3
0,0,12,5
0,0,6,5
1,1,13,5
4,0,23,2
10,10,335,5
6,6,116,5
1,1,23,5
7,2.4,55,4
2,2,14,5
3,3,25,5
0,0,8,3
1,1,26,5
2,2,39,5
1,0,35,1
6,3,79,4
2,2,90,5
1,1,32,5
3,3,120,5
0,0,15,5
4,1.2,94,4
3,3,51,5
1,1,11,5
1,1,55,5
0,0,2,5
0,0,3,5
0,0,9,5
1,1,41,5
7,0.40000000000000036,62,4
3,0,61,3
0,0,18,5
1,0,17,1
2,0,47,1
3,1,31,2
2,2,44,5
1,0,38,1
2,0,56,3
2,0,6,4
5,1,73,3
0,0,29,5
1,0,10,2
0,0,1,5
2,2,66,5
0,0,25,1
4,0,44,3
1,1,21,2
0,0,0,1
6,1,109,4
1,1,18,5
2,0.19999999999999996,9,4
4,4,68,5
0,0,1,5
0,0,1,2
1,0,6,2
0,0,6,5
7,7,92,5
2,2,74,5
1,0,12,2
0,0,16,5
0,0,28,5
1,0,27,2
1,1,80,5
5,5,52,5
2,0,40,3
0,0,30,3
4,4,112,5
2,0,34,4
3,0,44,1
1,1,55,5
0,0,14,2
0,0,18,5
5,5,276,5
0,0,1,2
0,0,1,2
0,0,8,5
2,0.19999999999999996,31,4
