rr,rr_reduced,total_traced,inf_p
2,0.19999999999999996,13,4
1,1,15,5
0,0,65,5
3,1,12,2
0,0,3,5
2,0,3,3
7,0,32,2
2,0,10,5
3,1,31,4
4,4,46,5
0,0,15,1
3,0,25,2
0,0,22,2
0,0,2,2
9,4,79,4
0,0,8,5
3,3,47,5
1,1,4,5
0,0,15,1
1,1,29,5
0,0,6,5
0,0,1,3
2,2,33,5
4,4,78,5
2,0,20,4
1,1,13,5
6,1.2,93,4
0,0,7,5
7,0,64,3
0,0,0,1
3,1,14,3
2,0,14,3
2,1,12,3
5,5,93,5
3,1,23,3
0,0,2,1
0,0,3,2
5,5,153,5
0,0,2,5
2,2,63,5
44,2,68,2
3,1,44,4
0,0,29,5
1,0,58,4
0,0,24,5
3,1,10,3
1,1,16,5
4,2,12,5
1,0,24,4
1,1,40,5
4,4,24,5
5,5,31,5
0,0,3,5
4,4,80,5
1,1,13,5
3,1,23,5
3,1,9,1
3,3,24,5
1,1,11,3
23,12,172,5
2,2,63,5
2,2,52,5
2,0,8,4
20,1,235,3
3,1,17,1
0,0,2,5
0,0,11,5
1,0,37,1
1,1,6,4
0,0,5,5
4,0,14,3
0,0,17,5
2,0,28,1
0,0,5,4
5,0.20000000000000018,99,4
1,0,1,3
4,0,11,1
2,2,9,5
1,0,9,1
2,0,13,1
7,2.2,117,4
2,1,9,4
3,0,28,1
3,0,31,2
0,0,16,5
1,1,3,5
3,3,48,5
0,0,1,4
7,6,53,5
4,0,50,4
2,2,6,4
6,2,48,2
2,2,4,5
0,0,6,4
7,2,70,3
4,0,13,5
4,0,39,1
7,3.2,72,4
1,1,18,5
0,0,7,2
37,6,569,2
6,1,21,2
2,0.19999999999999996,10,4
5,0,66,1
7,5,68,4
4,0,53,2
0,0,48,5
0,0,19,5
3,3,36,5
2,2,33,5
0,0,2,2
0,0,22,5
2,0,17,2
5,4,56,5
5,2,34,2
2,0,39,1
2,0,6,2
6,4,14,5
0,0,19,4
2,0,28,2
0,0,13,1
0,0,11,5
7,1,116,1
3,3,128,5
1,1,104,5
0,0,2,2
1,1,10,4
1,0,9,3
0,0,2,5
10,3.4000000000000004,94,4
1,0,3,3
2,1,18,3
2,0,23,2
0,0,15,4
1,1,6,5
11,1,132,1
1,1,22,3
1,0,3,2
1,1,15,5
8,1,153,3
1,1,64,5
0,0,26,3
1,0,3,2
3,1,25,4
0,0,8,5
1,0,23,1
0,0,1,4
0,0,9,5
2,2,20,5
1,1,9,5
6,6,182,5
0,0,2,2
0,0,10,5
0,0,50,5
4,0.19999999999999996,36,4
1,1,20,5
9,0,42,2
2,0,11,4
1,1,20,5
8,2,68,4
3,3,31,5
0,0,2,5
0,0,2,5
3,1,32,4
8,2,52,3
0,0,29,5
2,2,6,5
3,3,87,5
3,3,26,5
0,0,6,3
4,0,68,1
0,0,10,5
3,3,47,5
16,0,189,3
3,0,48,1
0,0,8,4
2,2,10,5
0,0,14,1
1,1,18,5
1,0,8,3
12,1.4000000000000004,202,4
0,0,1,5
1,0,17,5
4,0,13,2
1,1,87,5
1,0,7,3
4,0,31,1
6,6,134,5
1,1,3,5
0,0,2,4
0,0,11,5
3,2,34,5
2,0,14,2
0,0,9,5
4,1,20,3
0,0,20,5
8,2,94,3
0,0,6,4
2,1,10,1
2,2,36,5
3,3,45,5
0,0,7,1
0,0,40,5
1,0,13,5
0,0,0,1
0,0,4,5
3,0,20,1
1,0,8,4
18,2,221,3
1,0,3,1
0,0,0,1
3,0,8,2
5,5,57,5
4,1,43,2
2,2,6,5
1,1,18,5
0,0,19,5
0,0,29,5
3,0,18,1
0,0,12,4
0,0,26,5
5,0,26,2
1,0,2,4
2,0,9,2
0,0,2,5
0,0,3,1
3,0,13,4
0,0,10,5
0,0,3,5
0,0,126,5
1,1,7,5
1,0.19999999999999996,8,4
3,0,10,2
1,1,36,5
2,0,24,4
4,4,93,5
0,0,6,5
4,0,62,2
0,0,1,3
4,0,21,1
0,0,12,5
2,2,48,5
0,0,4,2
6,2,17,5
0,0,4,5
0,0,12,5
0,0,3,5
0,0,3,5
7,0,7,2
1,1,1,5
4,0,54,3
3,2,28,4
1,0,2,1
0,0,13,5
9,7,192,5
2,2,18,5
2,1,14,2
0,0,1,4
2,0,5,2
0,0,1,5
0,0,4,5
0,0,9,5
4,0.20000000000000018,44,4
7,7,126,5
3,1,25,5
3,0,29,1
2,0,5,4
1,1,13,5
4,0,23,5
0,0,2,4
0,0,0,2
4,1,22,4
1,1,6,5
4,0,36,2
2,2,35,5
0,0,10,4
0,0,1,4
0,0,2,2
1,0,9,1
1,0,41,2
3,0,53,4
1,0,19,5
3,0,21,1
2,0,3,4
1,1,7,5
3,2,50,5
2,0,54,1
0,0,2,5
2,1,13,4
1,0,3,4
1,1,40,5
0,0,20,5
1,0,3,3
0,0,1,4
3,3,65,5
6,0,26,3
8,0,158,1
1,0,25,3
0,0,5,2
2,2,5,3
3,3,16,5
1,0,7,1
0,0,0,5
7,0,82,1
0,0,13,5
10,10,175,5
1,0,4,4
0,0,16,5
1,1,8,4
2,0,25,4
0,0,21,5
1,0,22,3
1,1,18,5
0,0,2,2
5,1,24,1
7,0,61,1
7,7,83,5
0,0,2,5
0,0,33,5
1,1,6,5
2,1,5,4
0,0,1,2
5,3,17,4
1,0,26,3
2,2,3,2
3,1,48,4
3,1,29,3
0,0,31,3
5,5,10,5
1,1,26,5
2,0,41,2
1,1,36,5
2,0,20,4
0,0,10,5
4,4,24,5
3,0,80,1
2,2,5,5
1,1,28,4
4,2,10,3
1,1,15,3
0,0,19,4
0,0,1,3
0,0,1,3
0,0,1,1
13,4.8,226,4
7,7,188,5
0,0,5,2
0,0,4,5
0,0,53,5
2,2,43,5
0,0,3,5
2,2,23,5
9,2,78,3
1,1,15,5
0,0,10,5
