rr,rr_reduced,total_traced,inf_p
2,1,0,3
2,0,0,2
0,0,0,4
0,0,0,5
2,0,0,1
4,1,0,2
3,1,0,2
0,0,0,5
0,0,0,4
14,3,0,1
0,0,0,1
6,1,0,1
3,2,0,3
0,0,0,5
2,2,0,5
9,9,0,4
0,0,0,5
1,0,0,4
2,2,0,5
1,1,0,4
0,0,0,2
2,2,0,5
0,0,0,2
0,0,0,5
3,3,0,3
0,0,0,2
5,5,0,5
5,5,0,5
8,8,0,5
0,0,0,5
2,2,0,5
1,0,0,2
4,4,0,5
0,0,0,3
6,2,0,1
1,1,0,2
2,2,0,5
2,2,0,4
0,0,0,5
1,1,0,4
4,4,0,5
0,0,0,5
10,7,0,4
0,0,0,4
2,1,0,3
19,5,0,2
1,1,0,4
9,1,0,1
1,0,0,3
0,0,0,3
8,3,0,1
1,1,0,3
4,1,0,1
9,8,0,3
0,0,0,1
1,1,0,5
4,1,0,1
0,0,0,1
0,0,0,2
8,4,0,2
1,1,0,5
7,7,0,4
3,3,0,3
3,3,0,5
1,1,0,5
3,3,0,5
5,5,0,4
9,8,0,4
1,0,0,2
0,0,0,4
2,1,0,4
1,1,0,5
0,0,0,5
2,1,0,1
1,1,0,1
1,1,0,4
0,0,0,5
1,1,0,3
0,0,0,5
1,1,0,2
6,6,0,5
11,8,0,4
0,0,0,5
2,2,0,5
3,3,0,5
1,1,0,5
3,3,0,5
0,0,0,5
2,1,0,3
1,0,0,1
3,3,0,5
13,13,0,5
5,3,0,4
5,5,0,4
2,2,0,5
3,0,0,1
0,0,0,4
10,10,0,5
2,2,0,1
0,0,0,5
5,5,0,4
2,1,0,3
7,3,0,1
1,1,0,3
3,1,0,2
0,0,0,5
6,4,0,3
0,0,0,5
4,4,0,5
1,1,0,1
0,0,0,4
1,0,0,1
11,11,0,5
6,4,0,4
8,1,0,1
4,1,0,1
0,0,0,2
1,0,0,1
0,0,0,5
0,0,0,5
16,13,0,4
9,7,0,4
3,3,0,3
11,4,0,2
2,2,0,1
1,1,0,5
4,4,0,5
0,0,0,5
6,5,0,2
1,1,0,5
0,0,0,5
3,1,0,2
2,2,0,4
0,0,0,1
2,2,0,4
6,5,0,3
5,4,0,4
0,0,0,5
0,0,0,3
0,0,0,5
1,1,0,5
2,1,0,4
0,0,0,5
1,0,0,2
3,3,0,4
1,1,0,4
3,3,0,4
1,1,0,5
2,1,0,3
5,5,0,5
0,0,0,2
5,3,0,1
2,2,0,5
6,5,0,4
1,1,0,2
0,0,0,5
3,1,0,2
4,4,0,4
1,1,0,5
6,6,0,3
1,1,0,3
1,1,0,3
0,0,0,3
4,4,0,4
0,0,0,5
0,0,0,5
2,2,0,5
6,6,0,5
1,1,0,2
4,4,0,4
1,1,0,5
1,1,0,4
0,0,0,5
1,1,0,4
3,3,0,3
0,0,0,5
0,0,0,5
3,3,0,5
0,0,0,4
1,1,0,1
3,1,0,2
5,3,0,4
2,2,0,5
0,0,0,1
3,3,0,5
7,7,0,5
2,2,0,1
6,4,0,2
0,0,0,5
0,0,0,1
0,0,0,5
6,5,0,4
0,0,0,5
0,0,0,4
0,0,0,3
15,10,0,4
1,1,0,1
5,1,0,2
2,2,0,5
2,2,0,5
1,1,0,5
6,6,0,5
3,2,0,2
1,1,0,5
3,1,0,1
2,2,0,5
5,1,0,2
0,0,0,1
0,0,0,2
1,1,0,4
2,2,0,1
1,1,0,5
1,1,0,4
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
3,3,0,5
2,2,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,4
1,1,0,5
2,2,0,5
3,3,0,3
26,26,0,5
5,5,0,5
2,2,0,5
0,0,0,5
1,0,0,4
2,2,0,5
3,2,0,3
2,1,0,1
1,1,0,5
1,1,0,2
1,1,0,5
0,0,0,2
13,10,0,4
0,0,0,1
2,2,0,5
0,0,0,5
3,3,0,4
5,5,0,5
7,5,0,4
3,1,0,2
1,1,0,1
0,0,0,1
2,1,0,2
2,2,0,5
3,3,0,5
5,2,0,1
5,1,0,1
2,2,0,5
1,1,0,4
0,0,0,5
1,1,0,1
0,0,0,5
0,0,0,5
6,4,0,4
0,0,0,4
0,0,0,5
10,3,0,2
0,0,0,5
0,0,0,1
0,0,0,5
3,1,0,3
2,2,0,5
4,2,0,4
0,0,0,5
9,3,0,2
10,7,0,4
3,3,0,5
0,0,0,2
5,1,0,2
5,2,0,2
5,2,0,3
0,0,0,5
0,0,0,2
1,1,0,1
0,0,0,5
2,1,0,1
8,3,0,2
12,6,0,2
6,2,0,1
1,1,0,5
1,1,0,5
1,1,0,5
3,3,0,4
1,0,0,2
0,0,0,5
2,0,0,2
4,2,0,2
0,0,0,5
2,2,0,5
4,0,0,1
3,2,0,4
4,0,0,1
1,0,0,2
2,1,0,1
2,0,0,1
1,1,0,5
0,0,0,5
0,0,0,5
7,7,0,5
4,4,0,5
2,2,0,4
1,1,0,5
2,2,0,4
5,5,0,5
1,1,0,5
6,1,0,1
1,1,0,2
0,0,0,5
3,3,0,5
1,1,0,5
4,2,0,3
1,1,0,1
8,1,0,1
2,2,0,4
0,0,0,2
1,1,0,5
3,1,0,1
2,2,0,5
1,1,0,5
2,2,0,5
5,3,0,3
1,1,0,5
0,0,0,5
9,9,0,5
0,0,0,1
3,2,0,3
12,7,0,3
0,0,0,2
1,0,0,2
3,2,0,1
0,0,0,5
12,7,0,4
2,2,0,4
10,7,0,3
2,2,0,2
2,2,0,5
3,3,0,5
