scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,contactsR1,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.92476,0,2.92476,0,0,0,0,0.53084,0.28052,0,53%,2.9,0%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_only,2.99348,0.91028,2.0832,0,0,0,0,0.44116,0.18508,0.3040875502759329,44%,2,30%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
hh_quaratine_only,2.98656,1.110168,1.876392,2,2.1,0,4,0.39312,0.1666,0.37172131147540977,39%,1.8,37%,2 (0-4),38000,9400,1900,128000,0,4,0.95,0.53,0.7,0.5,0
hh_work_only,2.9568,1.5756,1.3812,13,30,1,111,0.30864,0.11484,0.5328733766233766,31%,1.4,53%,13 (1-110),540000,140000,27000,1830000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only,3.0197600000000002,1.741216,1.278544,22,36,1,116,0.28456,0.10196,0.5766074125096035,28%,1.2,58%,22 (1-120),650000,160000,32000,2200000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_limit,2.97968,1.917008,1.062672,17,32,1,103,0.24196,0.07248,0.6433603608441174,24%,1,64%,17 (1-100),580000,140000,29000,1950000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing,2.95704,1.885112,1.071928,29,45,1,142,0.23172,0.08456,0.6374996618239861,23%,1.1,64%,29 (1-140),810000,200000,40000,2750000,0,4,0.95,0.53,0.7,0.5,0
cell_phone,2.97044,1.38592,1.58452,4,17,1,71,0.331,0.13156,0.46657060906801684,33%,1.6,47%,4 (1-71),310000,76000,15000,1040000,0,4,0.95,0.53,0.7,0.5,0
cell_phone_met_limit,2.93348,1.59168,1.3418,4,14,1,52,0.29156,0.1036,0.5425910522655685,29%,1.3,54%,4 (1-52),250000,63000,13000,855000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell,2.95868,1.793568,1.165112,25,41,1,133,0.25504,0.09392,0.6062054700068951,26%,1.2,61%,25 (1-130),740000,180000,37000,2500000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.93544,1.952856,0.982584,21,35,1,113,0.22004,0.07168,0.6652685798381162,22%,0.98,67%,21 (1-110),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
pop_testing,2.94464,0.05644,2.8882,0,0,0,0,0.53024,0.2766,0.019167028906759476,53%,2.9,1.9%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_outside,2.9566,1.00932,1.94728,0,0,0,0,0.40864,0.17664,0.3413786105661909,41%,1.9,34%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
