scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,contactsR1,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.74684,0,2.74684,0,0,0,0,0.57872,0.262,0,58%,2.7,0%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_only,2.72816,0.64228,2.08588,0,0,0,0,0.50148,0.17468,0.23542607471702537,50%,2.1,24%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
hh_quaratine_only,2.69008,1.10832,1.58176,2,2.1,0,4,0.37016,0.12688,0.41200261702254204,37%,1.6,41%,2 (0-4),38000,9400,1900,128000,0,4,0.95,0.53,0.7,0.5,0
hh_work_only,2.71728,1.482216,1.235064,13,30,1,111,0.29848,0.08816,0.5454778307719484,30%,1.2,55%,13 (1-110),540000,140000,27000,1830000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only,2.70124,1.547328,1.153912,21,35,1,115,0.27748,0.08268,0.5728213709259451,28%,1.2,57%,21 (1-120),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_limit,2.70244,1.70976,0.99268,17,31,1,105,0.24392,0.058,0.6326726957860305,24%,1,63%,17 (1-100),560000,140000,28000,1890000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing,2.71804,1.691384,1.026656,29,46,1,143,0.24376,0.07116,0.6222807611367014,24%,1,62%,29 (1-140),830000,210000,41000,2810000,0,4,0.95,0.53,0.7,0.5,0
cell_phone,2.73244,1.35108,1.38136,4,17,1,70,0.32128,0.10284,0.4944591647026102,32%,1.4,49%,4 (1-70),310000,76000,15000,1040000,0,4,0.95,0.53,0.7,0.5,0
cell_phone_met_limit,2.68796,1.488,1.19996,4,14,1,52,0.2824,0.07932,0.5535796663640828,28%,1.2,55%,4 (1-52),250000,63000,13000,855000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell,2.69972,1.61704,1.08268,25,40,1,130,0.25376,0.07372,0.5989658186774924,25%,1.1,60%,25 (1-130),720000,180000,36000,2440000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.68032,1.717504,0.962816,21,35,1,110,0.23064,0.06144,0.6407831900668577,23%,0.99,64%,21 (1-110),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
pop_testing,2.729,0.04356,2.68544,0,0,0,0,0.5746,0.25728,0.015961890802491885,57%,2.7,1.6%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_outside,2.7562,0.91416,1.84204,0,0,0,0,0.42028,0.1514,0.3316740439735869,42%,1.8,33%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
