V1,V2,V3,V4,V5,V6,V7
no_measures,0%,0 (0-0),0%,0 (0-0),0%,0 (0-0)
isolation_only,29%,0 (0-0),47%,0 (0-0),18%,0 (0-0)
isolation_outside,35%,0 (0-0),53%,0 (0-0),20%,0 (0-0)
hh_quaratine_only,37%,2 (0-4),54%,2 (0-4),25%,2 (0-4)
hh_work_only,53%,13 (1-110),62%,13 (1-110),47%,13 (1-110)
isolation_manual_tracing_met_only,57%,22 (1-120),63%,21 (1-120),51%,21 (1-110)
isolation_manual_tracing,64%,29 (1-140),67%,29 (1-140),59%,29 (1-140)
cell_phone,47%,4 (1-69),58%,4 (1-69),38%,4 (1-70)
isolation_manual_tracing_met_only_cell,61%,25 (1-130),65%,25 (1-130),56%,25 (1-130)
isolation_manual_tracing_met_limit,64%,17 (1-110),69%,17 (1-100),60%,17 (1-110)
isolation_manual_tracing_met_only_cell_met_limit,66%,21 (1-110),70%,21 (1-110),63%,21 (1-110)
pop_testing,1.8%,0 (0-0),1.9%,0 (0-0),1.7%,0 (0-0)
