scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,contactsR1,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.53944,0,2.53944,0,0,0,0,0.49988,0.24468,0,50%,2.5,0%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_only,2.60976,1.21564,1.39412,0,0,0,0,0.32152,0.1006,0.4658052847771442,32%,1.4,47%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
hh_quaratine_only,2.59468,1.40244,1.19224,2,2.2,0,4,0.2642,0.08708,0.5405059583455378,26%,1.2,54%,2 (0-4),40000,9900,2000,134000,0,4,0.95,0.53,0.7,0.5,0
hh_work_only,2.59344,1.6198,0.97364,13,30,1,112,0.20684,0.06772,0.6245758529212166,21%,0.95,62%,13 (1-110),540000,140000,27000,1830000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only,2.56968,1.6288,0.94088,21,35,1,116,0.19876,0.06664,0.6338532424270726,20%,0.93,63%,21 (1-120),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_limit,2.56028,1.77832,0.78196,17,31,1,103,0.16508,0.05024,0.6945802802818442,17%,0.78,69%,17 (1-100),560000,140000,28000,1890000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing,2.57768,1.72368,0.854,29,45,1,141,0.18004,0.0654,0.6686943297849228,18%,0.84,67%,29 (1-140),810000,200000,40000,2750000,0,4,0.95,0.53,0.7,0.5,0
cell_phone,2.5308,1.46888,1.06192,4,17,1,69,0.23376,0.07676,0.5804014540856646,23%,1.1,58%,4 (1-69),310000,76000,15000,1040000,0,4,0.95,0.53,0.7,0.5,0
cell_phone_met_limit,2.60924,1.6778,0.93144,4,14,1,53,0.20304,0.06,0.6430224893072312,20%,0.91,64%,4 (1-53),250000,63000,13000,855000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell,2.57044,1.66112,0.90932,25,41,1,131,0.18888,0.06852,0.6462395543175488,19%,0.9,65%,25 (1-130),740000,180000,37000,2500000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.55984,1.79296,0.76688,21,35,1,110,0.16576,0.05064,0.7004187761735108,17%,0.76,70%,21 (1-110),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
pop_testing,2.57488,0.0482,2.52668,0,0,0,0,0.49316,0.23888,0.018719318958553388,49%,2.5,1.9%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_outside,2.56464,1.36508,1.19956,0,0,0,0,0.26564,0.08452,0.5322696362842347,27%,1.2,53%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
