scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,contactsR1,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.5886,0,2.5886,0,0,0,0,0.495,0.24708,0,50%,2.6,0%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_only,2.5752,0.74892,1.82628,0,0,0,0,0.40244,0.15388,0.290820130475303,40%,1.8,29%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
hh_quaratine_only,2.60044,0.971936,1.628504,2,2.1,0,4,0.35156,0.13724,0.37375828705911307,35%,1.6,37%,2 (0-4),38000,9400,1900,128000,0,4,0.95,0.53,0.7,0.5,0
hh_work_only,2.55852,1.353824,1.204696,13,30,1,108,0.27324,0.09312,0.5291434110345044,27%,1.2,53%,13 (1-110),540000,140000,27000,1830000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only,2.63884,1.503488,1.135352,22,36,1,115,0.25608,0.08552,0.5697533764836065,26%,1.1,57%,22 (1-120),650000,160000,32000,2200000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_limit,2.542,1.625,0.917,17,31,1,106,0.21004,0.05904,0.639260424862313,21%,0.93,64%,17 (1-110),560000,140000,28000,1890000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing,2.5762,1.63668,0.93952,29,46,1,142.049999999999,0.21068,0.07052,0.6353078177160159,21%,0.94,64%,29 (1-140),830000,210000,41000,2810000,0,4,0.95,0.53,0.7,0.5,0
cell_phone,2.57236,1.20112,1.37124,4,17,1,69,0.29888,0.1076,0.4669330886812111,30%,1.4,47%,4 (1-69),310000,76000,15000,1040000,0,4,0.95,0.53,0.7,0.5,0
cell_phone_met_limit,2.5784,1.40108,1.17732,4,14,1,53,0.26276,0.08472,0.5433912503878374,26%,1.2,54%,4 (1-53),250000,63000,13000,855000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell,2.584,1.565696,1.018304,25,41,1,131,0.22992,0.07504,0.6059195046439628,23%,1,61%,25 (1-130),740000,180000,37000,2500000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.5856,1.719176,0.866424,21,35,1,113,0.19664,0.05676,0.6649040841584158,20%,0.87,66%,21 (1-110),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
pop_testing,2.52888,0.93748,1.5914,0,0,0,0,0.33296,0.13,0.37070956312675973,33%,1.6,37%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_outside,2.58316,0.89708,1.68608,0,0,0,0,0.37088,0.14432,0.34728007556636054,37%,1.7,35%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
