e_home,e_work,e_other
5,2,0
2,1,0
2,1,0
2,42,0
2,0,0
2,4,15
3,2,11
3,0,0
5,2,2
3,5,0
2,2,0
3,9,0
2,3,2
3,1,0
4,0,3
4,8,0
2,6,2
3,12,2
2,1,0
2,3,0
2,0,0
3,0,0
2,12,0
2,2,0
3,4,10
3,0,5
4,9,6
5,0,0
3,4,0
4,3,0
2,9,0
2,1,0
4,0,0
4,2,6
3,0,0
4,4,0
2,1,0
2,5,0
3,0,0
2,3,1
4,12,1
2,0,3
3,0,0
2,5,1
3,0,0
4,9,0
4,4,0
4,1,0
4,0,0
3,30,0
5,2,5
1,6,0
2,1,0
4,0,8
3,5,0
2,1,3
4,0,4
3,0,1
4,2,0
3,0,0
3,0,9
3,4,0
3,3,0
2,0,1
4,1,31
4,5,3
4,0,1
3,6,0
4,5,3
2,4,0
4,3,0
4,6,1
3,3,6
4,11,13
1,1,0
7,0,0
2,0,4
4,2,9
1,0,0
4,5,0
4,0,0
2,3,0
5,0,20
3,14,3
5,2,2
5,3,1
2,0,2
1,1,0
3,0,0
3,4,0
3,2,0
3,0,2
3,2,0
2,0,0
2,7,0
4,0,0
2,0,5
3,0,5
3,7,0
4,6,0
3,0,0
2,21,2
3,4,1
4,2,0
2,0,7
2,0,0
2,3,0
2,0,0
2,0,0
3,2,0
3,11,1
2,21,0
4,7,0
6,5,0
4,0,1
3,0,2
2,9,0
3,23,0
3,1,0
9,13,0
0,20,0
5,13,0
3,4,0
5,6,2
3,2,10
2,1,0
2,28,3
3,1,0
3,0,0
0,1,0
2,3,4
2,1,0
2,0,1
2,0,11
3,7,1
2,0,0
4,8,2
2,14,0
2,12,0
2,0,0
4,7,14
1,4,0
3,0,3
3,4,0
4,1,3
3,16,0
2,13,1
1,0,1
2,7,0
3,6,2
4,6,0
4,9,0
2,6,0
2,9,0
3,3,0
3,2,0
4,0,0
3,4,0
3,0,0
3,8,0
2,7,0
2,16,0
5,7,0
3,4,4
3,13,0
3,2,0
4,16,0
2,12,0
2,6,7
3,4,0
3,3,1
5,0,1
3,7,0
3,0,0
4,0,1
4,4,0
3,51,0
2,0,0
4,0,0
2,0,2
4,3,0
4,14,0
3,3,1
3,28,0
3,7,2
4,4,0
6,0,5
3,10,2
3,1,4
2,0,1
3,0,0
3,19,0
3,2,0
3,0,0
3,0,0
9,1,0
2,3,0
4,30,0
2,2,0
4,28,5
2,63,0
2,2,6
4,0,0
4,4,2
1,0,0
3,3,0
3,3,0
3,2,17
2,0,4
3,3,0
2,0,0
6,86,6
3,16,0
3,9,2
9,0,1
2,0,0
2,0,6
4,2,3
2,0,0
2,13,0
4,0,0
5,5,0
3,0,2
3,20,15
2,0,0
3,2,1
5,20,2
4,20,0
4,0,1
2,5,0
4,2,0
3,1,0
1,0,0
2,10,0
4,11,8
5,0,0
2,5,0
3,3,0
3,0,0
1,2,3
3,2,6
4,5,3
4,3,0
4,14,3
3,12,0
4,8,2
3,0,0
2,0,0
4,0,0
4,6,4
3,0,4
1,11,0
1,16,0
1,0,1
2,0,0
2,13,0
2,3,0
4,3,7
3,0,0
3,0,1
3,3,1
3,0,0
4,1,1
3,0,7
3,0,0
3,2,0
4,3,0
3,1,4
3,10,7
1,8,0
5,1,0
3,3,1
3,0,0
3,0,0
4,13,1
5,13,0
2,18,8
2,8,0
4,0,0
3,5,0
2,0,0
2,3,0
1,1,3
3,10,0
1,8,0
2,0,0
4,7,0
2,9,0
2,13,0
4,5,0
2,0,1
2,11,4
5,9,0
3,2,0
4,5,0
2,10,5
1,12,0
4,2,0
2,0,0
3,0,5
5,2,0
3,1,2
3,12,0
2,4,0
5,3,4
4,1,0
3,2,0
1,19,0
5,1,0
4,13,0
4,26,0
2,0,0
3,2,0
3,0,0
3,0,0
3,2,0
3,14,0
4,5,0
3,7,6
5,7,4
1,0,0
3,8,0
2,0,4
2,0,3
4,0,0
3,3,0
2,13,1
3,0,1
3,3,0
2,11,0
2,12,0
4,6,0
3,53,1
1,1,4
3,2,0
2,20,2
3,3,0
2,2,6
3,6,0
4,4,0
6,3,0
1,23,1
3,9,0
5,3,2
2,0,2
6,9,0
2,3,0
2,0,0
2,24,0
3,2,0
1,53,0
2,0,0
3,22,6
2,0,3
3,1,6
2,3,0
0,4,0
2,0,10
2,6,0
2,19,2
3,12,1
9,1,0
3,26,0
1,3,2
3,1,0
2,0,0
2,3,0
3,17,1
4,0,0
3,0,1
3,4,7
3,2,0
3,0,0
3,8,3
3,0,0
3,0,3
2,28,0
3,1,0
2,0,0
3,7,0
2,2,0
3,20,0
3,8,0
3,0,0
2,2,0
3,0,3
4,3,1
3,16,0
2,0,0
4,0,6
4,0,0
3,8,0
3,6,0
9,0,0
0,0,0
3,10,0
6,0,0
3,0,2
5,4,2
3,0,0
2,4,0
3,2,4
3,0,1
3,5,1
2,46,8
3,1,2
5,11,0
3,14,0
3,5,0
1,16,0
2,0,3
2,1,2
4,2,0
3,2,0
3,27,1
4,2,0
1,2,1
5,1,0
3,2,4
2,1,0
3,5,0
3,2,3
3,2,3
3,3,0
3,20,1
4,0,0
2,13,2
3,2,0
3,0,0
0,2,0
3,12,4
4,0,0
3,1,2
4,1,4
3,2,0
4,0,0
3,6,2
3,6,2
2,1,1
2,0,0
4,4,1
1,0,0
3,3,0
3,1,0
3,9,22
2,0,4
2,0,0
4,0,0
3,51,1
3,28,1
3,18,0
3,0,2
3,4,0
2,0,0
3,0,0
4,10,0
2,1,1
5,11,10
9,9,0
4,0,2
2,1,0
2,19,0
2,10,4
3,0,0
3,0,2
4,9,0
0,0,4
1,0,0
3,3,0
2,6,0
3,41,4
4,3,0
2,3,11
3,2,0
3,4,0
1,0,2
2,2,2
2,6,0
3,10,2
3,11,2
2,0,1
3,0,0
4,4,2
3,13,0
2,3,0
5,3,0
3,4,0
4,35,0
3,0,1
4,7,3
3,0,0
3,0,0
7,5,1
3,15,0
3,0,0
3,10,0
4,0,0
4,7,0
3,1,0
1,13,0
4,11,0
3,0,0
2,5,0
2,0,3
1,2,0
3,54,3
4,6,0
2,0,0
3,8,9
5,120,0
3,0,0
3,0,0
6,3,1
4,1,2
3,0,0
3,3,0
2,0,0
3,1,0
4,0,0
3,7,3
3,8,1
3,2,0
3,5,29
3,0,0
2,4,0
2,0,0
2,0,1
3,0,0
3,4,0
2,0,4
5,10,0
2,1,0
3,13,0
2,36,0
4,7,1
3,2,0
4,0,0
4,9,5
4,1,0
4,3,2
2,0,0
3,0,0
3,1,0
5,0,0
2,2,5
4,0,0
3,1,0
2,2,2
3,0,4
3,8,0
2,9,2
5,0,0
3,1,0
4,0,1
3,9,8
3,0,1
2,2,0
