rr,rr_reduced,total_traced,inf_p
0,0,4,1
1,1,3,5
2,0,5,2
2,2,20,5
1,1,2,2
9,6,2,3
1,1,19,5
2,2,57,5
8,8,107,5
13,4,164,4
4,1,1,2
0,0,0,5
1,1,34,5
3,0,51,4
12,2,115,3
0,0,2,5
2,1,0,2
0,0,1,5
1,0,9,4
0,0,16,5
0,0,2,5
0,0,33,5
1,1,6,5
0,0,15,2
3,0,39,1
3,1,24,4
3,3,0,4
3,1,34,4
3,2,24,3
0,0,64,5
3,3,24,5
1,0,1,4
2,2,34,5
1,1,3,5
7,2,2,2
0,0,6,5
3,0,34,2
10,1,75,1
0,0,14,5
1,1,1,5
0,0,0,5
5,2,34,2
0,0,1,5
1,1,4,5
0,0,1,5
3,2,3,4
3,3,37,5
1,0,0,1
2,1,0,4
1,1,1,5
0,0,28,5
1,0,1,2
2,2,62,5
0,0,2,3
6,0,34,3
2,2,34,5
12,12,5,5
1,1,24,4
13,1,1,1
0,0,0,2
11,4,1,2
2,1,2,2
1,1,0,5
3,1,25,4
1,0,1,2
1,0,6,1
6,6,53,5
0,0,0,5
1,1,25,5
3,3,85,5
1,1,1,5
4,1,6,2
2,2,2,4
0,0,36,5
0,0,16,5
0,0,2,3
1,1,7,5
11,5,2,2
5,5,90,5
0,0,4,1
3,1,18,1
0,0,15,5
22,11,5,2
2,2,11,5
1,1,30,5
0,0,2,5
7,6,1,4
1,0,30,4
0,0,9,5
6,5,120,4
1,0,8,3
4,4,90,5
0,0,40,5
2,2,83,5
4,1,9,2
0,0,2,5
2,0,55,1
0,0,1,1
5,0,42,3
1,1,0,5
1,1,2,5
2,2,48,5
4,0,59,4
2,2,57,5
1,1,19,5
0,0,1,5
7,2,25,2
3,0,49,1
3,2,31,4
2,2,1,4
1,1,4,3
1,1,12,5
7,5,0,4
1,1,2,5
2,0,54,1
2,0,4,1
2,0,3,3
6,2,32,4
0,0,2,4
5,5,73,5
6,0,20,1
2,2,53,5
9,2,50,3
6,5,2,4
0,0,2,4
9,3,124,3
3,1,6,4
2,2,65,5
1,1,3,5
3,3,1,5
1,0,16,3
0,0,3,5
2,1,2,4
5,4,0,4
1,0,4,2
3,1,2,4
3,0,0,1
1,1,23,3
0,0,36,2
9,9,86,5
3,3,4,5
1,0,1,1
2,2,14,5
1,1,10,3
0,0,1,5
0,0,16,5
5,0,0,1
2,2,1,5
2,2,21,5
0,0,13,3
2,0,11,2
6,1,34,2
0,0,1,5
4,4,0,5
1,1,7,5
0,0,0,4
7,7,119,5
0,0,0,5
0,0,0,5
2,2,6,5
4,2,3,3
2,1,25,1
2,1,23,4
5,5,44,5
2,2,1,2
7,0,2,1
1,0,5,3
1,0,1,1
3,3,8,5
0,0,2,5
3,1,43,4
1,0,3,4
5,2,6,2
0,0,4,5
0,0,0,5
1,1,40,5
6,2,4,4
0,0,3,5
2,1,1,1
1,1,2,3
3,3,88,5
5,2,1,3
3,3,0,3
12,4,99,4
0,0,2,4
3,1,72,4
0,0,3,4
4,4,3,5
3,3,0,5
0,0,3,3
3,3,23,5
1,1,2,2
1,1,1,2
4,4,26,5
2,2,42,5
1,1,90,5
0,0,6,4
1,1,40,5
0,0,2,2
1,0,16,4
0,0,8,5
2,1,4,1
0,0,0,5
0,0,6,1
3,0,13,4
0,0,6,1
1,0,2,1
5,0,37,2
2,2,0,4
1,0,4,3
0,0,2,2
0,0,3,5
0,0,1,5
2,1,0,1
0,0,2,5
1,1,1,5
0,0,16,5
1,1,2,5
9,1,39,3
0,0,0,5
1,1,13,5
1,0,34,1
2,0,23,3
5,5,35,5
0,0,9,4
9,2,57,4
0,0,22,5
2,1,2,1
4,4,7,5
6,3,43,4
0,0,1,5
6,0,86,2
5,1,27,4
1,1,5,1
0,0,6,3
3,3,47,5
0,0,2,2
0,0,0,5
0,0,6,5
0,0,3,5
6,1,3,2
0,0,12,4
1,0,1,1
3,3,0,5
1,1,11,5
0,0,2,4
0,0,0,2
1,1,3,4
6,2,36,3
2,2,4,5
4,0,2,1
0,0,22,1
3,1,46,3
2,2,19,5
0,0,33,5
0,0,2,3
0,0,11,5
4,4,38,5
0,0,22,5
0,0,13,5
1,1,2,4
0,0,0,5
1,1,29,5
0,0,0,5
4,4,41,5
3,1,47,2
0,0,2,5
0,0,1,3
1,1,0,5
0,0,3,5
1,0,3,4
1,1,1,5
0,0,1,4
0,0,1,1
0,0,4,4
0,0,2,5
0,0,0,5
6,0,29,1
1,1,12,1
0,0,0,1
1,1,5,5
2,1,0,1
2,1,0,4
2,1,17,4
1,0,18,2
2,0,14,1
0,0,2,4
8,7,1,4
2,2,4,5
4,1,0,2
2,2,1,5
4,3,2,4
0,0,2,5
1,1,0,5
9,4,5,4
6,6,4,5
0,0,0,2
8,5,1,4
0,0,23,3
1,0,7,1
0,0,13,1
0,0,2,5
0,0,2,5
11,11,1,5
0,0,0,1
