rr,rr_reduced,total_traced,inf_p
0,0,8,5
3,2,17,4
0,0,11,5
9,0,89,4
1,1,28,5
0,0,0,3
2,0,20,1
0,0,7,2
0,0,5,2
2,2,21,5
0,0,3,5
1,1,19,5
0,0,10,2
0,0,0,5
0,0,27,5
3,0,19,2
5,1,60,2
2,2,40,5
1,1,46,5
1,0,2,3
0,0,3,3
1,1,62,5
4,0,47,3
0,0,1,5
1,1,18,5
1,1,26,5
1,1,2,5
3,0,32,2
1,0,54,5
6,1,80,4
0,0,0,5
0,0,18,5
4,3,139,5
9,1,143,2
0,0,6,2
0,0,9,5
2,2,134,5
3,0,47,4
7,1,5,1
2,0,36,4
3,0,72,2
0,0,1,2
0,0,46,5
0,0,0,2
4,1,17,3
0,0,11,5
1,0,64,1
2,1,6,3
3,3,66,5
3,0,40,2
0,0,9,3
0,0,8,5
0,0,9,5
4,1,35,4
6,0,74,2
0,0,0,2
2,0,23,1
1,0,3,1
6,0,62,3
4,0,37,4
0,0,0,4
3,3,15,5
1,0,9,3
2,0,4,2
0,0,1,1
6,0,47,4
12,0,73,1
4,0,10,2
0,0,26,2
1,0,4,3
2,2,64,5
1,0,8,4
8,8,134,5
1,0,12,2
18,18,246,5
4,4,26,5
7,7,62,5
2,2,47,5
2,2,25,5
0,0,30,5
1,0,37,2
0,0,14,1
2,0,12,2
0,0,2,3
3,0,23,1
0,0,1,5
2,0,23,5
2,0,32,1
2,0,9,4
0,0,19,5
3,0,33,4
0,0,1,5
1,0,15,4
0,0,12,5
3,3,12,5
0,0,2,3
2,0,3,1
1,1,22,5
1,1,64,4
0,0,2,5
3,3,45,5
4,4,74,5
3,0,14,4
3,3,53,5
2,2,20,5
8,2,58,4
1,1,4,5
0,0,3,1
13,0,230,2
1,1,20,5
2,1,14,3
3,3,21,5
6,2,56,4
3,0,17,3
0,0,7,3
0,0,16,5
0,0,0,3
6,0,117,1
1,0,2,1
3,3,53,5
0,0,16,4
4,0,26,1
6,0,16,1
0,0,1,4
2,0,21,1
11,0,52,2
7,7,103,5
7,0,52,3
7,1,40,4
1,0,24,5
4,4,103,5
8,8,112,5
0,0,10,5
1,0,28,2
1,0,25,3
5,1,58,2
8,0,148,3
0,0,6,5
2,2,35,5
1,1,21,5
4,4,65,5
8,1,82,4
6,1,35,1
2,1,20,2
1,0,4,3
0,0,12,5
2,0,8,3
0,0,27,5
1,1,13,5
2,0,6,3
4,1,45,1
4,0,51,4
14,0,16,3
0,0,2,4
0,0,27,5
3,0,19,1
2,0,4,1
0,0,13,5
1,0,1,4
5,0,54,4
1,0,23,2
7,7,123,5
0,0,4,4
5,0,101,4
1,1,2,5
1,1,2,5
2,2,57,5
0,0,20,5
1,1,11,5
0,0,10,5
0,0,2,4
1,0,27,1
2,0,20,3
5,1,43,4
2,0,25,1
4,4,141,5
2,1,38,5
3,1,36,2
0,0,12,5
1,1,18,5
25,0,292,1
0,0,1,4
2,0,30,1
3,0,30,3
2,1,37,4
3,3,37,5
1,1,8,5
7,0,48,3
1,1,23,5
4,0,22,4
0,0,3,3
0,0,2,4
0,0,0,5
1,0,6,4
0,0,10,2
1,0,23,3
2,2,47,5
5,2,14,4
2,2,48,5
5,5,79,5
0,0,3,5
0,0,18,5
0,0,9,5
6,6,136,5
2,1,7,1
1,1,31,5
4,0,21,2
4,4,67,5
5,2,22,4
3,0,53,4
1,0,23,1
2,0,37,1
2,2,38,5
1,0,18,1
3,0,30,2
0,0,1,5
4,1,43,4
0,0,3,5
3,0,28,1
1,1,14,5
1,0,16,2
0,0,3,4
36,27,428,5
7,1,77,4
4,1,41,3
0,0,1,3
1,1,25,5
0,0,10,4
0,0,13,5
0,0,2,5
2,0,20,4
6,0,26,1
0,0,17,1
2,0,16,3
5,5,14,5
1,1,4,5
0,0,25,5
4,1,79,4
4,0,66,2
3,0,11,1
0,0,16,5
1,0,16,5
0,0,8,5
1,0,8,1
0,0,21,5
2,2,20,5
2,1,48,4
4,4,73,5
11,1,135,2
6,1,139,4
1,1,22,5
3,0,6,3
1,1,7,5
4,3,20,2
4,4,36,5
1,0,13,1
2,0,21,3
10,1,57,2
2,0,24,2
2,2,47,5
1,1,3,5
0,0,34,5
5,5,140,5
3,1,74,2
0,0,46,5
0,0,21,5
2,0,32,5
3,3,43,5
1,1,10,5
1,1,22,3
1,0,6,4
0,0,10,1
3,3,61,5
1,0,22,3
0,0,0,5
0,0,26,5
0,0,0,5
0,0,1,5
1,0,52,2
0,0,1,4
1,0,8,1
2,0,5,2
1,1,2,5
1,1,25,5
2,0,55,3
8,8,130,5
0,0,0,4
2,0,21,2
1,1,42,5
0,0,2,5
1,1,11,5
7,1,46,4
4,2,56,4
5,0,23,1
2,1,10,1
3,1,51,2
1,0,21,2
5,5,143,5
0,0,2,5
1,1,9,5
2,0,37,1
1,1,16,4
1,1,1,4
3,3,95,5
1,0,17,3
0,0,6,5
1,0,46,1
0,0,11,2
1,1,23,5
8,8,65,5
1,1,7,5
3,1,24,5
6,3,59,5
3,0,13,3
2,0,72,4
2,2,30,5
0,0,30,5
1,0,2,2
1,1,44,5
2,2,116,5
6,0,61,1
3,0,20,1
1,1,102,5
6,0,28,4
2,0,16,3
3,0,18,4
5,5,166,5
5,1,37,5
6,0,124,1
1,0,8,1
1,0,11,2
0,0,20,4
6,1,64,4
1,1,66,5
11,1,128,1
3,0,19,2
1,1,56,5
1,1,38,5
6,6,284,5
7,1,29,4
0,0,5,5
3,3,38,5
1,0,2,4
1,0,3,1
1,0,6,3
2,1,21,4
4,1,20,5
1,0,1,4
1,1,27,5
5,1,25,4
1,1,15,4
8,0,90,2
1,0,5,1
1,0,5,1
4,1,39,4
0,0,8,1
1,1,1,2
38,0,105,1
1,0,58,4
3,1,38,4
3,3,31,5
1,0,12,1
8,0,56,1
3,0,25,2
2,0,76,4
3,0,49,1
9,1,110,3
0,0,4,2
3,0,21,4
1,0,12,5
2,1,14,4
3,3,17,5
0,0,8,3
1,0,31,3
3,0,69,2
7,0,41,2
0,0,6,5
3,3,42,5
1,1,4,5
3,0,18,1
2,2,11,5
4,0,70,2
0,0,7,5
4,4,62,5
4,4,145,5
4,0,78,4
4,3,48,5
0,0,8,5
1,0,1,4
1,1,2,5
6,6,127,5
2,0,48,4
0,0,99,5
3,0,28,3
3,0,4,3
3,0,17,1
2,2,15,5
1,0,17,4
4,2,12,3
7,5,59,5
8,0,105,3
1,1,10,5
3,2,29,5
0,0,1,1
4,2,45,5
6,6,134,5
3,0,22,1
0,0,0,1
1,1,47,5
3,1,39,2
5,2,13,3
7,1,71,3
1,0,4,2
3,0,51,1
0,0,10,5
1,1,14,5
6,2,63,4
3,2,29,5
3,0,50,2
0,0,37,5
0,0,0,1
0,0,4,5
6,0,64,2
1,1,11,5
1,0,12,1
1,1,70,5
2,0,24,1
1,0,16,1
0,0,0,2
1,1,3,5
2,2,27,5
1,1,47,5
6,4,78,5
7,1,41,1
0,0,15,5
4,0,59,1
0,0,7,5
1,0,23,2
0,0,8,5
4,3,23,5
3,1,27,4
3,3,25,5
9,9,269,5
3,0,31,4
3,0,40,1
0,0,3,5
3,3,106,5
