rr,rr_reduced,total_traced,inf_p
0,0,4,5
5,3,26,4
1,1,6,5
1,1,3,5
0,0,26,5
2,0,56,1
0,0,19,5
1,1,2,4
3,2,11,2
1,0,17,3
1,1,5,2
0,0,2,5
5,5,83,5
0,0,3,4
0,0,2,5
1,1,2,5
20,2,193,2
0,0,13,5
3,0,20,2
0,0,5,5
0,0,5,5
0,0,28,5
0,0,10,5
1,1,35,5
1,1,47,5
0,0,1,5
1,0,6,1
0,0,1,4
0,0,1,3
2,0,7,1
0,0,10,1
0,0,4,5
0,0,1,1
2,0,26,4
3,3,31,5
1,1,3,5
18,9,88,2
0,0,4,1
0,0,3,5
1,0,1,3
0,0,5,3
1,1,7,5
2,0,4,4
0,0,1,2
3,3,9,5
0,0,23,5
1,1,3,5
1,0,1,2
7,7,101,5
1,1,1,5
5,2,15,1
1,0,25,3
0,0,3,4
5,0,39,3
0,0,1,4
5,1,81,4
1,0,8,3
0,0,0,2
2,1,69,3
2,1,7,3
1,1,1,4
1,1,1,5
2,0,18,3
0,0,6,5
3,1,50,4
1,1,3,4
1,1,1,2
4,4,18,5
3,1.2,28,4
1,0,12,4
0,0,3,5
2,2,27,5
2,0.19999999999999996,23,4
2,0,5,3
1,1,3,5
0,0,2,5
1,1,29,5
0,0,14,2
4,3,11,4
1,0,4,3
6,3,30,4
1,0,59,3
2,2,3,5
1,1,0,5
4,4,22,5
0,0,6,4
0,0,12,5
14,6,68,2
0,0,1,5
2,1,1,4
0,0,23,5
0,0,0,5
4,4,86,5
0,0,22,5
0,0,4,4
1,1,1,5
8,0,114,3
0,0,5,3
2,0,1,2
2,0,0,1
0,0,1,5
17,2.8000000000000007,225,4
2,2,1,5
3,1,72,2
6,2,1,2
1,0,10,2
11,1,102,1
3,1,15,1
4,4,38,5
3,0,56,2
0,0,0,1
0,0,1,2
1,1,3,5
1,0,3,3
3,0,55,2
1,1,6,5
4,3,12,4
2,1,2,2
1,1,43,5
1,1,31,5
0,0,0,5
0,0,7,2
3,3,24,5
1,1,24,5
4,0,44,1
2,0,15,1
0,0,1,5
2,0,37,3
4,0,7,1
0,0,3,5
1,0,2,1
1,1,21,5
1,1,6,4
8,8,158,5
0,0,12,5
0,0,2,2
0,0,10,5
5,1,32,3
0,0,1,5
0,0,17,4
0,0,1,5
0,0,18,3
9,9,312,5
1,0.19999999999999996,2,4
1,1,0,5
7,2,67,3
5,0,71,4
2,0,20,4
4,4,32,5
7,0,71,3
1,1,14,5
39,2,525,3
12,1,153,1
6,0,44,2
9,1,161,4
1,0,23,2
2,0,20,3
1,1,3,3
4,4,6,5
5,5,83,5
6,0,123,3
1,1,13,5
4,0,29,4
6,3,16,4
0,0,0,2
1,0,1,2
4,0,27,3
23,18.2,2,4
14,2,32,1
5,5,39,5
1,1,18,5
2,0,3,3
1,1,3,5
3,0,28,1
1,1,14,5
6,1.5999999999999996,70,4
2,2,42,5
0,0,21,2
3,3,2,5
3,3,54,5
4,4,120,5
4,2,20,3
2,0,2,3
5,0,3,2
6,6,13,5
0,0,0,4
1,1,51,5
0,0,0,5
12,12,31,5
5,2,31,2
3,0,13,1
5,0,2,2
0,0,5,4
1,1,3,5
0,0,1,3
8,0,101,1
0,0,1,2
0,0,1,5
5,1.2,30,4
1,1,32,5
0,0,4,2
2,1.2,5,4
0,0,2,1
3,1,11,2
2,2,27,5
10,3,52,2
1,0,6,1
0,0,1,5
9,0,83,1
0,0,1,2
0,0,7,5
1,1,1,2
0,0,0,5
3,0,61,1
0,0,3,5
0,0,1,4
11,2.2,94,4
6,0,172,1
2,0,30,2
1,1,62,5
1,1,56,5
1,1,3,5
1,0,25,3
7,0,107,1
0,0,2,4
2,0,29,4
4,4,1,4
0,0,22,5
1,0.19999999999999996,3,4
3,3,3,5
1,0,22,3
3,0,23,3
5,5,136,5
2,0,3,2
6,1,25,3
3,0,36,4
12,1,73,1
2,1,2,1
1,0,2,2
1,0,1,1
0,0,1,3
0,0,8,5
1,1,26,5
7,7,97,5
1,1,3,5
5,5,57,5
0,0,1,5
0,0,11,4
4,4,82,5
4,4,41,5
2,2,71,5
0,0,3,5
3,1,20,2
2,1,60,4
1,1,2,5
1,1,26,1
8,2,11,2
0,0,1,5
2,2,46,5
0,0,13,5
0,0,3,5
1,0,3,2
1,0,8,1
2,2,4,5
4,1,79,3
3,3,0,5
9,1,27,2
5,1,32,1
3,3,22,4
2,0,40,4
0,0,1,3
2,2,32,5
6,6,278,5
0,0,3,5
0,0,20,5
1,1,3,5
1,0,1,2
2,2,21,5
6,2,30,4
2,2,8,5
0,0,4,5
2,1,8,2
1,1,18,5
1,1,10,5
1,1,24,5
4,4,4,5
0,0,40,5
1,1,6,5
0,0,0,5
0,0,2,5
1,0,0,2
2,2,29,5
0,0,23,5
