rr,rr_reduced,total_traced,inf_p
0,0,14,5
3,3,20,5
2,0,37,1
1,1,41,5
0,0,9,1
3,1,43,4
0,0,3,5
2,2,31,5
0,0,8,1
0,0,17,5
1,0,1,1
1,1,80,5
0,0,110,5
2,0,35,1
4,4,39,5
6,6,146,5
3,3,37,5
4,0,108,1
1,1,38,5
1,0.19999999999999996,36,4
2,2,35,5
2,0,8,1
8,0,115,3
1,1,14,5
1,1,56,5
1,0,19,3
3,0,40,1
2,2,74,5
0,0,27,5
0,0,1,5
2,2,10,5
1,0,32,1
5,1,50,2
1,1,33,4
10,2,52,2
5,5,155,5
1,1,20,5
0,0,13,3
3,1.2,23,4
3,0.20000000000000018,65,4
1,0,16,3
3,0,46,4
6,6,36,5
0,0,9,5
0,0,2,1
4,4,46,5
5,1,101,3
2,2,40,5
5,5,30,5
0,0,13,5
8,8,247,5
2,0.19999999999999996,8,4
0,0,1,5
0,0,28,5
0,0,17,2
0,0,32,5
2,0,30,1
1,0,21,3
0,0,8,2
2,2,31,5
0,0,17,5
2,2,59,5
1,0,2,2
0,0,6,5
1,0,1,4
2,0,13,1
1,0,9,1
4,1.2,51,4
1,1,8,5
0,0,17,5
0,0,2,2
0,0,26,5
1,1,2,5
2,2,19,5
0,0,2,4
2,0,5,1
0,0,12,5
0,0,48,5
4,1.2000000000000002,63,4
1,1,6,5
2,2,12,5
3,3,30,5
9,9,98,5
6,0,69,1
7,7,41,5
16,2,207,2
1,1,19,5
1,1,18,5
2,2,109,5
8,8,189,5
0,0,16,5
0,0,7,5
4,4,69,5
0,0,15,5
1,1,61,5
1,0,20,2
0,0,7,5
1,1,13,5
2,2,110,5
0,0,1,3
14,1,158,3
1,0,17,4
2,0,33,2
4,4,78,5
0,0,17,5
0,0,21,1
2,2,26,5
0,0,37,5
3,1,69,2
9,0,104,2
1,0,16,4
0,0,7,5
1,1,28,5
0,0,2,5
7,7,278,5
0,0,1,3
0,0,20,5
2,2,53,3
1,0,1,3
7,0,39,2
4,2,75,4
0,0,1,5
0,0,23,5
0,0,0,2
1,1,26,5
3,0.19999999999999996,24,4
4,1,83,2
2,1,18,1
1,1,119,5
3,3,68,5
1,1,14,5
4,0,18,4
7,0.3999999999999999,130,4
3,3,31,5
2,2,8,5
6,1.4,243,4
6,6,153,5
1,0,42,4
1,1,29,5
7,1,83,2
0,0,23,5
0,0,26,4
2,0,54,3
1,0,21,3
1,0,82,4
4,4,146,5
2,2,52,5
1,1,7,5
1,1,3,5
5,5,104,5
0,0,2,5
1,0,27,3
0,0,24,1
2,2,40,5
0,0,4,5
3,3,63,5
1,1,2,5
3,0.19999999999999996,34,4
1,1,91,5
2,2,75,5
0,0,0,3
0,0,1,5
3,0,31,3
1,0,17,1
0,0,20,5
3,0,11,2
3,0,37,2
0,0,0,1
1,0,19,3
12,0,264,2
1,0,3,2
3,0,37,2
0,0,11,5
0,0,2,3
2,2,37,5
5,5,57,5
0,0,46,4
0,0,11,5
0,0,16,5
0,0,8,5
0,0,51,5
1,1,2,5
3,0.20000000000000018,50,4
0,0,4,4
2,1,28,4
6,0,60,2
2,0,26,4
4,4,98,5
3,3,93,5
2,0,19,2
0,0,25,5
5,0,46,1
2,2,28,5
1,1,22,5
3,3,41,5
5,5,87,5
4,0.20000000000000018,79,4
0,0,4,5
2,0,7,2
2,0,40,3
0,0,1,2
0,0,2,3
3,0,80,3
0,0,4,3
0,0,16,5
1,0,26,3
3,3,160,5
0,0,10,5
5,1,69,1
11,0,172,1
3,3,148,5
1,1,51,5
0,0,11,4
0,0,10,4
0,0,12,5
0,0,6,5
3,0.19999999999999996,41,4
0,0,15,3
1,0,1,3
28,0,517,3
5,0,56,3
1,0,1,3
2,2,17,5
0,0,37,4
0,0,9,5
0,0,2,1
1,1,7,5
0,0,28,5
1,1,8,5
5,0,77,3
12,1,174,3
1,1,21,5
1,0,18,1
1,1,7,2
3,3,41,5
4,4,97,5
