rr,rr_reduced,total_traced,inf_p
1,1,31,2
0,0,5,5
0,0,13,5
3,3,77,5
3,1.6,63,3
3,3,47,5
2,0,30,4
2,1,41,2
3,0,74,2
2,2,92,5
4,1,32,2
6,6,55,5
0,0,3,2
5,1,38,1
0,0,0,1
2,2,13,5
0,0,6,5
0,0,5,1
2,0,43,1
0,0,25,5
4,4,94,5
1,1,82,5
4,2,14,4
0,0,9,2
2,1,17,3
0,0,19,5
1,1,9,5
3,3,42,5
1,1,14,5
1,1,14,5
2,2,37,5
0,0,97,5
1,0.8,10,4
1,1,70,5
1,1,29,4
18,0,172,2
1,0,20,2
1,0,9,1
4,4,66,5
1,1,19,5
3,2.6,50,4
1,0.8,40,4
0,0,26,4
4,0,64,1
11,0,162,1
1,0,12,1
0,0,21,5
8,8,106,5
1,0.8,6,4
7,7,124,5
1,1,18,5
5,1,23,2
1,1,9,5
2,0,12,1
2,1,70,4
3,1,40,3
2,1.6,25,4
0,0,2,1
2,2,14,5
4,0,28,2
4,3,50,4
4,4,174,5
2,1,10,4
2,2,67,5
1,0.6,17,4
2,2,54,5
9,0,112,2
1,0.6,26,4
1,0,11,2
3,3,11,5
4,4,69,5
4,1.6,65,3
3,2.6,87,4
0,0,23,5
4,2.4,46,4
0,0,14,5
8,8,269,5
1,1,20,4
2,0,11,1
3,0,34,1
3,3,36,5
3,2,23,4
0,0,8,4
1,0,5,1
4,4,106,5
1,0,4,3
6,6,201,5
3,1,36,1
2,0,30,3
1,1,74,5
1,0,75,1
6,0,61,4
2,0.6000000000000001,43,4
9,1,117,2
7,1,96,2
3,3,39,5
0,0,9,5
0,0,11,5
8,1.6,60,3
2,2,51,5
0,0,11,5
9,0,122,2
2,0.8,14,4
0,0,9,5
2,0.6000000000000001,22,4
3,0.6000000000000001,111,3
3,0.6,63,4
0,0,26,1
2,1.6,14,4
0,0,6,1
0,0,2,2
8,0,114,1
3,3,22,5
1,1,54,5
2,2,30,5
0,0,1,4
3,3,62,5
3,3,54,5
3,0.6000000000000001,11,4
0,0,5,2
2,1.4,30,4
0,0,4,5
