rr,rr_reduced,total_traced,inf_p
1,1,15,5
1,1,16,5
0,0,2,5
8,8,216,5
0,0,14,1
6,0,89,3
0,0,1,1
3,0,11,1
0,0,18,5
0,0,10,5
1,1,26,5
4,0,61,4
0,0,12,5
0,0,4,3
0,0,1,5
0,0,12,5
0,0,0,5
2,2,44,5
2,1,32,3
10,3,145,4
2,0,12,5
2,0,39,1
4,0,32,2
8,0,41,2
1,0,33,1
2,0,16,1
1,0,2,2
3,0,25,2
1,1,9,5
3,0,82,2
4,1,69,4
17,1,166,1
1,0,4,3
0,0,3,4
5,5,67,4
3,1,54,2
0,0,1,1
1,0,7,2
2,0,14,2
1,1,7,5
1,0,10,3
1,1,15,5
4,4,30,5
0,0,1,1
1,1,53,5
1,0,6,3
0,0,14,3
6,1,34,4
0,0,2,5
1,1,2,5
1,0,15,1
0,0,8,5
0,0,2,4
1,0,7,1
0,0,8,5
1,0,84,3
0,0,8,5
5,0,20,2
5,1,13,3
1,0,15,2
2,2,29,5
1,1,23,5
0,0,0,5
0,0,11,2
0,0,6,5
1,0,9,3
1,1,15,5
0,0,4,3
1,1,11,5
4,1,27,1
0,0,29,2
3,3,68,5
0,0,7,1
5,0,18,1
0,0,2,1
3,3,68,5
0,0,5,5
1,1,52,5
0,0,2,5
0,0,3,5
2,2,16,5
1,0,9,1
3,3,9,5
2,2,22,5
1,1,22,5
3,0,28,2
2,0,8,1
1,0,38,4
1,1,25,5
0,0,5,5
0,0,47,5
1,0,1,2
0,0,8,2
1,1,13,5
4,0,52,4
3,0,49,3
1,0,8,4
4,1,70,2
1,0,16,4
0,0,0,5
1,1,25,5
4,4,136,5
4,4,55,5
1,1,6,2
0,0,0,5
1,1,14,5
3,3,48,5
2,2,45,5
1,1,17,5
2,2,117,5
9,2,28,4
0,0,7,5
9,0,48,2
1,0,46,3
10,0,125,1
4,0,9,3
3,1,30,4
2,0,17,1
0,0,30,4
1,1,7,5
32,2,21,5
0,0,0,5
3,1,26,3
0,0,14,5
0,0,0,1
1,0,6,3
3,0,25,2
4,0,38,4
4,0,15,4
1,0,28,3
6,2,53,4
2,2,12,5
3,3,21,4
7,1,42,4
1,0,3,4
0,0,7,4
2,0,10,3
1,1,3,5
4,4,61,5
5,5,27,5
0,0,27,5
3,3,63,5
2,2,23,5
2,1,34,5
1,1,30,4
5,0,28,2
9,1,75,1
2,2,70,5
2,0,19,1
1,1,16,5
0,0,2,5
0,0,3,5
0,0,14,3
2,0,26,2
2,2,43,5
0,0,3,3
8,7,148,5
1,1,7,5
4,0,18,1
0,0,3,5
11,0,37,2
4,4,27,5
0,0,9,5
3,1,15,5
0,0,4,4
5,3,17,5
0,0,0,1
0,0,10,4
4,0,55,2
3,3,23,5
0,0,10,5
0,0,4,5
2,0,8,1
1,1,18,5
5,1,59,4
1,1,21,5
1,1,9,5
0,0,11,5
0,0,4,4
1,0,18,5
2,2,12,5
2,0,6,3
6,6,196,5
1,0,34,3
7,7,80,5
1,0,7,3
1,1,34,4
1,0,3,1
3,0,55,1
5,4,29,5
4,1,68,4
0,0,2,5
4,1,22,5
4,0,30,2
4,0,39,4
1,1,16,2
1,0,9,1
0,0,28,5
4,1,73,2
1,1,3,5
0,0,0,5
0,0,0,2
0,0,1,4
0,0,0,1
2,1,43,3
0,0,17,5
2,1,13,4
2,2,91,5
2,2,70,5
6,1,48,1
2,0,16,5
2,0,11,2
1,0,9,3
1,1,12,5
1,0,17,1
0,0,2,5
2,2,12,5
0,0,4,2
2,1,20,5
21,0,20,1
1,0,55,2
