rr,rr_reduced,total_traced,inf_p
2,2,27,5
1,1,21,4
0,0,2,5
1,1,8,5
4,1.2000000000000002,33,4
0,0,39,5
6,2,85,4
3,0,27,4
1,0,31,3
0,0,3,5
3,3,29,5
3,3,22,5
0,0,1,4
5,0,46,3
2,1,5,4
2,2,53,5
3,1,14,4
34,34,529,5
1,1,20,5
1,0,57,4
4,4,75,5
0,0,19,5
1,1,35,5
1,0,11,4
0,0,9,5
0,0,28,5
4,0.19999999999999996,45,4
0,0,1,5
0,0,1,4
1,1,16,5
0,0,3,2
0,0,7,5
2,0,44,1
0,0,2,5
1,0,5,2
1,1,5,5
4,4,58,5
0,0,8,5
0,0,31,5
0,0,6,5
11,3,135,2
8,2,39,2
6,6,42,5
0,0,3,4
4,0,45,1
0,0,24,1
2,2,22,5
1,1,9,5
4,4,45,5
1,1,38,5
0,0,12,5
6,2.4,79,4
16,3.5999999999999996,199,4
1,1,8,5
1,1,36,5
0,0,3,5
0,0,12,4
1,1,17,5
1,0,46,1
1,1,22,5
0,0,2,5
0,0,10,5
4,1,56,4
0,0,11,5
0,0,46,5
3,1,22,3
1,0,23,3
7,2,60,3
2,0,43,2
8,1,199,1
7,2.4,68,4
8,2.2,90,4
0,0,2,5
1,1,51,5
5,0,46,1
3,0,7,3
1,1,93,5
0,0,23,4
0,0,31,5
0,0,11,5
0,0,1,2
0,0,12,3
19,7.2,138,4
8,1.4000000000000004,126,4
2,1,12,2
3,0,20,2
4,4,24,5
0,0,1,5
4,0,25,1
0,0,7,5
2,2,25,5
13,13,168,5
0,0,8,5
1,1,40,5
0,0,19,5
1,1,24,5
0,0,1,5
5,1,47,4
1,1,29,5
1,1,46,5
8,3,67,4
0,0,4,5
3,3,92,5
0,0,3,5
0,0,1,3
1,1,28,5
2,0,22,2
1,0,6,1
4,4,24,5
1,0,8,1
2,2,17,4
1,0,8,1
3,3,72,5
6,0,66,2
0,0,15,4
0,0,2,5
3,0,32,1
3,0,52,4
17,5,227,3
