rr,rr_reduced,total_traced,inf_p
2,1,4,3
1,1,4,5
1,1,55,5
0,0,24,5
2,2,43,5
1,0.19999999999999996,3,4
1,1,79,5
5,3,59,4
5,0,47,1
0,0,1,1
1,1,2,5
3,3,39,5
2,2,7,5
1,0.19999999999999996,13,4
2,0,21,3
2,0,5,3
2,2,57,5
2,2,53,5
5,5,188,5
0,0,21,2
13,0,217,2
4,2,31,2
0,0,10,5
1,1,22,5
0,0,3,1
2,2,16,5
3,3,16,5
1,1,3,5
2,2,69,5
5,0,57,4
9,1,80,3
0,0,52,5
4,4,44,5
1,1,21,5
1,1,7,5
7,1,99,3
1,1,4,5
6,1,29,1
4,0,91,1
1,1,20,5
1,0,4,4
2,0,11,1
3,0.20000000000000018,12,4
3,3,17,5
13,6,52,4
1,1,19,4
2,2,13,5
1,1,10,5
1,1,25,5
5,0,78,2
2,2,35,5
0,0,1,4
3,0.20000000000000018,43,4
2,0,55,1
0,0,1,4
0,0,0,2
0,0,22,4
2,0,3,2
2,2,68,5
1,1,13,4
1,0,10,2
7,0,97,3
0,0,22,2
2,0,7,1
4,4,95,5
0,0,4,5
14,14,413,5
1,0,11,4
0,0,6,5
19,1,243,3
0,0,1,5
7,0,66,2
0,0,3,5
2,0,16,1
4,0,14,2
0,0,0,5
0,0,4,1
7,0,105,2
5,5,51,5
7,0,112,4
3,0,51,2
9,9,51,5
0,0,8,5
5,0,70,3
0,0,2,5
0,0,25,4
2,2,41,5
2,2,39,5
3,1,52,4
10,3.4000000000000004,101,4
1,1,78,5
0,0,2,5
4,0.19999999999999996,43,4
0,0,15,1
10,0,78,1
0,0,8,5
1,1,23,5
1,0,30,2
3,0,56,1
1,1,40,5
4,0,35,3
2,0,41,2
1,0,14,2
1,1,25,5
0,0,0,5
1,0,1,4
1,0,7,3
2,2,115,5
1,1,1,5
4,0,13,4
12,0,209,2
0,0,6,1
1,1,27,5
3,3,65,5
0,0,12,5
5,1.4,43,4
2,2,87,5
1,1,18,5
2,0,16,3
1,1,32,5
0,0,18,5
1,1,51,5
1,0,2,2
1,1,20,5
2,0,17,1
2,2,54,5
3,3,67,5
3,1,17,2
2,2,18,5
1,1,7,5
0,0,1,1
5,5,115,5
3,3,72,5
0,0,13,5
1,0,21,4
4,1.4,13,4
3,3,47,5
12,2,126,3
0,0,22,5
0,0,9,1
0,0,14,3
0,0,4,5
0,0,10,5
0,0,17,1
0,0,9,5
1,0,7,1
2,0,17,1
6,1,53,3
2,0.19999999999999996,14,4
0,0,8,1
2,0,3,1
0,0,30,3
0,0,5,5
9,9,97,5
1,1,94,5
2,0,36,1
3,0,42,1
3,0,30,3
4,4,57,5
3,0,41,4
0,0,25,5
1,0,13,3
1,1,11,5
1,1,8,5
2,2,81,5
1,1,5,5
1,0,22,2
3,3,16,5
0,0,0,5
2,2,140,5
2,2,24,5
0,0,36,1
0,0,24,4
1,0,7,1
2,2,58,5
3,3,40,5
0,0,0,2
1,0,4,1
1,1,16,5
2,2,45,5
3,1,21,2
6,6,269,5
1,1,29,5
17,0,177,3
8,8,160,5
0,0,16,2
1,1,17,5
1,1,14,5
24,24,474,5
1,0,16,1
0,0,3,5
0,0,12,5
1,1,11,5
5,5,51,5
1,1,4,5
1,0.19999999999999996,4,4
7,0,67,2
3,0,30,2
1,0,3,4
1,0,12,3
0,0,2,5
9,0,103,3
1,1,34,5
5,5,79,5
0,0,6,4
5,0,47,1
1,0,5,4
0,0,6,2
4,4,73,5
4,0,46,3
0,0,1,4
2,2,17,5
1,0,8,3
0,0,29,5
11,0.1999999999999993,193,4
3,0,60,1
1,1,60,5
1,0,28,3
2,0,25,4
1,0,6,3
0,0,33,5
2,0.19999999999999996,9,4
3,0,36,3
6,0,37,3
4,4,75,5
2,2,14,5
4,4,84,5
6,6,140,5
1,1,15,5
3,3,60,5
2,0,44,3
2,2,4,5
1,1,48,5
2,0,37,1
7,7,138,5
1,1,13,5
5,0,40,3
2,0,9,1
2,2,2,5
2,0,18,2
0,0,78,5
6,6,53,5
7,7,123,5
5,1,30,3
0,0,12,5
1,0,5,1
2,0,13,4
1,1,5,4
1,0,37,4
0,0,22,5
9,3,53,3
2,0,20,1
2,0,33,1
1,1,35,5
11,0,153,1
6,0,41,4
4,0,29,3
2,2,36,5
0,0,35,5
1,0,15,1
1,0,2,4
0,0,3,2
0,0,3,5
2,0,10,4
1,1,22,5
3,3,116,5
3,3,54,5
2,2,97,5
1,0,18,4
0,0,1,3
4,4,26,5
0,0,2,5
1,1,38,5
7,7,254,5
4,1,62,1
1,0,16,1
6,0,129,3
4,0,53,3
3,0,90,4
0,0,14,5
2,2,14,5
2,2,26,5
1,0,3,3
0,0,85,5
0,0,0,4
0,0,11,1
2,2,26,5
1,1,28,5
0,0,0,2
2,2,47,5
0,0,21,1
3,3,59,5
0,0,2,5
0,0,6,4
2,0,7,4
5,0.20000000000000018,66,4
1,1,25,5
2,2,5,5
3,0,58,1
9,1.5999999999999996,104,4
2,2,26,5
2,2,6,5
1,0.19999999999999996,3,4
1,1,5,5
1,0,13,3
1,0,22,2
1,1,9,5
1,0,14,2
8,0,65,1
15,0.8000000000000007,177,4
0,0,2,1
