rr,rr_reduced,total_traced,inf_p
2,0,17,2
0,0,3,5
4,4,23,5
0,0,2,5
1,0,38,4
0,0,5,5
1,0,10,3
1,0,12,2
4,0,38,4
0,0,7,5
2,2,29,5
3,3,89,5
2,0,9,4
0,0,2,5
1,1,7,5
3,3,69,5
1,0,17,4
0,0,21,5
1,0,8,2
1,0,22,4
8,1,10,4
4,1,58,5
3,1,18,3
4,1,21,5
1,0,5,4
1,1,24,2
1,1,20,5
1,1,4,4
5,0.3999999999999999,49,4
0,0,26,2
1,1,5,5
2,0,26,4
5,1.2,10,4
0,0,1,5
1,1,19,5
3,1,17,5
0,0,14,5
4,4,54,5
0,0,8,2
2,2,22,5
3,1,13,4
0,0,21,5
1,1,4,5
1,0,37,3
1,0,7,1
0,0,0,5
13,1,92,2
1,1,21,4
3,3,28,5
2,1,11,3
0,0,10,4
4,4,39,5
3,0,37,2
1,1,30,5
7,4,48,5
0,0,6,5
0,0,1,2
1,0,34,2
7,2,73,3
1,0.19999999999999996,9,4
4,4,75,5
8,8,138,5
4,4,52,5
2,1,9,4
0,0,13,5
0,0,1,5
1,1,18,5
0,0,17,5
1,0,4,2
2,1,20,1
0,0,0,5
0,0,3,3
0,0,2,2
1,0,9,3
4,0,73,1
4,4,55,5
1,0,8,3
0,0,11,5
4,1,19,2
4,4,137,5
6,5,42,5
1,1,20,5
0,0,18,5
2,0,28,2
5,1,31,3
1,1,47,5
15,0,21,4
0,0,8,4
18,18,308,5
0,0,11,5
4,0,40,3
2,2,49,5
3,3,132,5
4,0,56,1
0,0,12,5
1,1,11,5
5,0,66,4
4,0,30,4
2,0,36,2
1,1,37,5
2,2,8,5
1,0,41,1
1,1,59,5
0,0,4,1
5,0,33,3
5,4,35,5
1,1,9,5
2,1,57,5
2,2,84,5
6,1.2000000000000002,40,4
1,0,6,3
1,0,39,2
3,3,149,5
0,0,27,5
0,0,5,5
0,0,11,4
0,0,1,2
4,0,37,2
3,1,47,5
1,1,15,5
1,0,2,4
1,0,11,3
0,0,4,5
1,1,23,5
4,1,16,3
0,0,10,5
8,2,12,3
0,0,20,5
5,0,10,1
3,0,8,4
0,0,4,5
2,2,65,5
19,2,151,3
4,0,45,3
3,0,46,2
1,1,14,5
1,0,30,1
1,0,7,2
4,3,82,5
1,1,49,5
3,1,53,5
0,0,7,2
1,0,8,1
9,0,73,3
4,0,52,4
1,0,1,4
8,1.2000000000000002,131,4
0,0,1,5
8,1,80,2
1,0,14,2
