rr,rr_reduced,total_traced,inf_p
38,17,0,2
3,3,0,5
4,4,0,5
0,0,0,1
1,1,0,5
0,0,0,3
3,3,0,5
6,6,0,5
1,1,0,4
1,1,0,5
1,0,0,4
1,0,0,1
1,0,0,4
0,0,0,2
4,4,0,5
2,2,0,4
0,0,0,5
2,1,0,2
0,0,0,5
0,0,0,2
2,2,0,5
4,4,0,5
1,0,0,1
2,2,0,4
0,0,0,5
1,1,0,5
0,0,0,1
1,1,0,4
3,2,0,4
8,2,0,1
0,0,0,2
2,0,0,1
3,3,0,5
3,3,0,5
3,3,0,3
0,0,0,5
0,0,0,5
6,2,0,1
5,0,0,1
0,0,0,4
3,3,0,5
8,8,0,5
3,3,0,5
2,0,0,2
0,0,0,5
1,1,0,4
0,0,0,1
4,4,0,5
5,4,0,4
2,2,0,2
0,0,0,5
1,0,0,1
0,0,0,5
3,1,0,1
0,0,0,5
5,4,0,4
2,0,0,1
2,2,0,5
1,0,0,1
1,1,0,5
0,0,0,5
0,0,0,4
2,1,0,3
1,1,0,5
2,2,0,5
5,3,0,4
0,0,0,2
2,2,0,5
10,8,0,4
0,0,0,4
1,1,0,4
5,5,0,5
3,0,0,2
0,0,0,5
4,3,0,4
0,0,0,5
4,3,0,4
1,1,0,5
3,3,0,5
5,5,0,5
0,0,0,5
6,2,0,1
6,0,0,1
0,0,0,2
5,1,0,2
2,1,0,4
0,0,0,5
1,1,0,5
6,4,0,4
1,1,0,5
7,7,0,5
5,4,0,4
0,0,0,1
17,17,0,5
2,2,0,5
0,0,0,5
8,6,0,3
2,2,0,5
1,1,0,5
0,0,0,5
4,3,0,4
8,3,0,1
2,2,0,5
0,0,0,5
4,3,0,4
2,1,0,2
7,0,0,1
0,0,0,4
1,1,0,5
8,5,0,3
1,1,0,5
0,0,0,5
2,0,0,2
1,1,0,5
3,3,0,4
1,1,0,5
0,0,0,5
3,3,0,5
0,0,0,5
4,2,0,3
2,2,0,5
0,0,0,3
0,0,0,5
0,0,0,1
4,0,0,1
4,4,0,5
2,2,0,5
0,0,0,5
3,3,0,5
1,1,0,1
1,1,0,2
1,1,0,5
2,0,0,3
0,0,0,5
0,0,0,5
6,4,0,2
2,2,0,5
3,3,0,5
0,0,0,5
0,0,0,5
0,0,0,3
0,0,0,4
2,2,0,5
3,0,0,3
1,1,0,5
0,0,0,4
4,2,0,1
9,0,0,1
1,0,0,1
4,4,0,5
0,0,0,5
1,1,0,5
0,0,0,5
6,3,0,4
5,4,0,4
0,0,0,5
4,2,0,3
2,2,0,5
20,12,0,3
1,1,0,5
0,0,0,3
2,1,0,4
0,0,0,1
8,7,0,4
3,3,0,5
2,2,0,5
4,2,0,3
5,4,0,4
5,0,0,2
3,0,0,2
1,0,0,3
2,2,0,5
13,12,0,4
4,3,0,2
1,1,0,4
1,1,0,5
5,2,0,3
2,0,0,3
26,12,0,2
0,0,0,4
1,1,0,5
9,9,0,5
0,0,0,5
4,3,0,4
0,0,0,5
1,1,0,4
0,0,0,5
1,1,0,5
7,7,0,5
2,2,0,5
0,0,0,5
8,5,0,2
1,1,0,5
2,2,0,5
2,0,0,1
8,3,0,1
2,0,0,2
1,1,0,5
2,1,0,1
1,1,0,1
0,0,0,5
2,2,0,5
2,2,0,5
3,3,0,5
0,0,0,3
2,1,0,1
2,1,0,2
0,0,0,2
11,11,0,5
0,0,0,5
1,0,0,2
0,0,0,5
13,11,0,4
0,0,0,5
1,1,0,1
3,2,0,3
0,0,0,3
0,0,0,5
4,4,0,5
1,0,0,1
0,0,0,5
7,5,0,2
0,0,0,2
1,1,0,5
5,4,0,2
10,4,0,2
2,0,0,1
1,0,0,1
1,1,0,5
1,1,0,5
2,0,0,1
2,2,0,2
2,2,0,2
0,0,0,5
0,0,0,2
3,0,0,1
3,3,0,5
1,1,0,5
4,3,0,3
0,0,0,4
0,0,0,5
3,0,0,1
0,0,0,4
0,0,0,5
1,1,0,5
3,2,0,4
4,4,0,4
1,1,0,5
4,1,0,1
1,1,0,4
3,3,0,5
0,0,0,5
0,0,0,5
5,4,0,3
1,1,0,5
2,2,0,5
1,0,0,2
2,2,0,5
0,0,0,4
2,1,0,4
2,0,0,2
4,4,0,5
0,0,0,5
2,2,0,5
2,2,0,5
1,0,0,1
1,0,0,2
2,1,0,3
2,0,0,2
0,0,0,4
0,0,0,5
6,3,0,4
1,1,0,4
0,0,0,1
2,2,0,5
1,0,0,1
8,8,0,4
0,0,0,5
4,3,0,3
2,2,0,4
7,0,0,1
0,0,0,4
0,0,0,5
0,0,0,5
4,4,0,5
0,0,0,5
0,0,0,5
2,2,0,5
3,2,0,2
7,7,0,5
5,3,0,3
3,1,0,2
2,1,0,2
1,0,0,4
8,4,0,3
3,3,0,5
2,2,0,5
0,0,0,4
3,2,0,4
1,0,0,3
1,1,0,2
2,2,0,5
1,0,0,1
1,1,0,5
6,2,0,1
3,0,0,2
1,1,0,4
3,3,0,5
6,4,0,2
3,1,0,1
12,4,0,1
3,2,0,1
0,0,0,1
1,1,0,5
0,0,0,5
1,1,0,4
1,0,0,1
3,2,0,3
3,2,0,2
6,0,0,1
2,2,0,4
1,1,0,1
3,0,0,1
5,5,0,5
7,3,0,2
