rr,rr_reduced,total_traced,inf_p
1,1,1,5
0,0,1,2
3,3,1,5
4,4,1,5
1,0,1,2
0,0,1,4
1,1,1,5
12,7,1,3
1,1,1,5
4,0,1,1
4,1,1,1
0,0,1,5
0,0,1,5
6,0,1,1
4,1,1,5
1,0,1,3
4,1,1,1
1,1,1,4
2,0,1,3
0,0,1,4
0,0,1,5
5,0,1,2
1,1,1,5
8,3,1,3
5,3,1,4
1,0,1,1
8,3,1,3
1,0,1,1
6,6,1,5
2,2,1,3
0,0,1,1
2,2,1,5
9,8,1,5
3,1,1,1
3,2,1,3
20,10,1,2
2,1,1,4
3,2,1,4
7,7,1,5
1,0,1,3
0,0,1,4
3,3,1,4
2,0,1,2
11,1,1,1
1,1,1,5
0,0,1,5
3,3,1,5
7,4,1,1
0,0,1,5
1,1,1,5
5,5,1,5
15,5,1,2
1,0,1,3
0,0,1,5
0,0,1,5
2,1,1,1
0,0,1,1
6,1,1,2
0,0,1,3
10,0,1,1
2,2,1,5
5,2,1,5
2,0,1,1
4,3,1,3
0,0,1,3
2,1,1,2
1,1,1,5
0,0,1,4
0,0,1,5
4,3,1,4
1,0,1,5
0,0,1,5
2,2,1,5
1,0,1,1
2,0,1,1
9,2,1,1
5,3,1,5
2,2,1,5
3,0,1,1
1,1,1,5
10,3,1,3
0,0,1,1
2,0,1,2
1,0,1,2
5,2,1,5
3,0,1,2
1,0,1,3
1,1,1,5
0,0,1,5
3,2,1,3
3,0,1,2
1,1,1,5
2,2,1,5
0,0,1,5
4,3,1,5
1,0,1,3
1,1,1,5
0,0,1,3
4,1,1,2
0,0,1,2
0,0,1,5
2,1,1,4
1,0,1,5
0,0,1,5
0,0,1,5
1,1,1,5
17,4,1,1
0,0,1,4
6,6,1,5
3,0,1,2
0,0,1,5
0,0,1,1
3,1,1,4
2,2,1,5
2,2,1,5
9,7,1,4
6,0,1,5
2,2,1,5
2,0,1,2
6,0,1,2
0,0,1,1
4,4,1,5
4,2,1,4
0,0,1,3
0,0,1,5
3,0,1,1
5,5,1,5
0,0,1,5
3,0,1,1
0,0,1,1
0,0,1,4
1,0,1,2
1,1,1,3
0,0,1,2
0,0,1,5
1,0,1,4
7,0,1,2
0,0,1,2
12,2,1,4
1,1,1,5
2,1,1,1
4,1,1,1
3,3,1,5
0,0,1,5
2,0,1,2
0,0,1,5
7,2,1,5
