scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.9479,0,2.9479,0,0,0,0,0.5429,0.28185,0,54%,2.9,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_only,2.9613,0.78525,2.17605,0,0,0,0,0.46865,0.19325,0.26517070205652926,47%,2.2,27%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
hh_quaratine_only,2.91335,1.00519,1.90816,2,2.1,0,4,0.40775,0.1679,0.34502891859886375,41%,1.9,35%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.6,0.5,0
hh_work_only,2.92345,1.42199,1.50146,13,30,1,109,0.3345,0.12535,0.4864081821135986,33%,1.5,49%,13 (1-110),140000,27000,5400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only,2.96105,1.54626,1.41479,21,36,1,116,0.31475,0.1136,0.5221998953074078,31%,1.4,52%,21 (1-120),160000,32000,6500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,2.89385,1.71686,1.17699,17,31,1,102,0.2742,0.08045,0.5932788499749468,27%,1.2,59%,17 (1-100),140000,28000,5600,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.9348,1.67924,1.25556,29,45,1,140,0.274,0.10215,0.5721820907727955,27%,1.3,57%,29 (1-140),200000,40000,8100,0,4,0.95,0.53,0.6,0.5,0
cell_phone,2.95775,1.24735,1.7104,4,17,0,70,0.365,0.14625,0.42172259318738903,36%,1.7,42%,4 (0-70),76000,15000,3100,0,4,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.87555,1.4528,1.42275,4,14,1,51.0499999999993,0.3181,0.109,0.5052250873745892,32%,1.5,51%,4 (1-51),63000,13000,2500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell,2.9189,1.62283,1.29607,25,40,1,126,0.28915,0.10215,0.5559731405666517,29%,1.3,56%,25 (1-130),180000,36000,7200,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.95265,1.81212,1.14053,21,35,1,114,0.2558,0.0827,0.6137266523292635,26%,1.1,61%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
pop_testing,2.9236,0.0567,2.8669,0,0,0,0,0.5334,0.27565,0.019393897934053994,53%,2.9,1.9%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_outside,2.95985,0.9093,2.05055,0,0,0,0,0.4314,0.1851,0.3072115140969982,43%,2,31%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
