scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.41695,0,2.41695,0,0,0,0,0.5124,0.22315,0,51%,2.4,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_only,2.4163,0.5503,1.866,0,0,0,0,0.44355,0.14895,0.22774489922608943,44%,1.9,23%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
hh_quaratine_only,2.4102,0.88633,1.52387,2,2.1,0,4,0.35585,0.1218,0.3677412662849556,36%,1.5,37%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.6,0.5,0
hh_work_only,2.38855,1.17959,1.20896,13,30,1,110,0.28575,0.0866,0.49385191852797716,29%,1.2,49%,13 (1-110),140000,27000,5400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only,2.4308,1.26596,1.16484,21,35,1,114,0.27835,0.0812,0.5207997367121935,28%,1.2,52%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,2.43725,1.43341,1.00384,17,32,1,105,0.24185,0.0608,0.588125961637091,24%,1,59%,17 (1-100),140000,29000,5800,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.42845,1.38731,1.04114,30,45,1,143,0.2469,0.0705,0.5712738578105376,25%,1,57%,30 (1-140),200000,40000,8100,0,4,0.95,0.53,0.6,0.5,0
cell_phone,2.4007,1.06185,1.33885,4,17,0,71,0.31515,0.09915,0.44230849335610445,32%,1.3,44%,4 (0-71),76000,15000,3100,0,4,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.39545,1.2211,1.17435,4,14,1,54,0.2745,0.0774,0.5097580830324155,27%,1.2,51%,4 (1-54),63000,13000,2500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell,2.42,1.33333,1.08667,25,41,1,134,0.2541,0.07785,0.5509628099173554,25%,1.1,55%,25 (1-130),180000,37000,7400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.398,1.43954,0.95846,21,35,1,113,0.2275,0.0586,0.6003085904920767,23%,0.97,60%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
pop_testing,2.367,0.03925,2.32775,0,0,0,0,0.50825,0.2115,0.0165821715251373,51%,2.4,1.7%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_outside,2.38455,0.7328,1.65175,0,0,0,0,0.3815,0.1316,0.3073116520936864,38%,1.7,31%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
