V1,V2,V3,V4,V5,V6,V7,V8,V9
no_measures,0%,0 (0-0),0%,0 (0-0),0%,0 (0-0),2.74975,2.41695
isolation_only,27%,0 (0-0),28%,0 (0-0),23%,0 (0-0),2.03305,1.866
isolation_outside,30%,0 (0-0),31%,0 (0-0),31%,0 (0-0),1.93835,1.65175
hh_quaratine_only,34%,2 (0-4),34%,2 (0-4),37%,2 (0-4),1.85604,1.52387
hh_work_only,48%,13 (1-110),49%,14 (1-110),49%,13 (1-110),1.42099,1.20896
isolation_manual_tracing_met_only,51%,22 (1-110),53%,21 (1-110),52%,21 (1-110),1.31424,1.16484
isolation_manual_tracing,57%,29 (1-140),57%,29 (1-140),57%,30 (1-140),1.18082,1.04114
cell_phone,43%,4 (1-71),42%,4 (1-68),44%,4 (0-71),1.6033,1.33885
isolation_manual_tracing_met_only_cell,54%,25 (1-130),55%,25 (1-130),55%,25 (1-130),1.25012,1.08667
isolation_manual_tracing_met_limit,60%,18 (1-110),59%,17 (1-110),59%,17 (1-100),1.1371,1.00384
isolation_manual_tracing_met_only_cell_met_limit,62%,21 (1-110),63%,21 (1-110),60%,21 (1-110),1.04812,0.95846
pop_testing,1.8%,0 (0-0),2%,0 (0-0),1.7%,0 (0-0),2.69875,2.32775
