V1,V2,V3,V4,V5,V6,V7
no_measures,0%,0 (0-0),0%,0 (0-0),0%,0 (0-0)
isolation_only,25%,0 (0-0),39%,0 (0-0),15%,0 (0-0)
isolation_outside,31%,0 (0-0),47%,0 (0-0),18%,0 (0-0)
hh_quaratine_only,35%,2 (0-4),48%,2 (0-4),24%,2 (0-4)
hh_work_only,49%,13 (1-110),56%,13 (1-110),43%,13 (1-110)
isolation_manual_tracing_met_only,51%,22 (1-110),57%,21 (1-110),47%,21 (1-110)
isolation_manual_tracing,57%,29 (1-140),60%,29 (1-140),54%,30 (1-140)
cell_phone,43%,4 (1-71),52%,4 (1-70),36%,4 (0-72)
isolation_manual_tracing_met_only_cell,54%,25 (1-130),59%,25 (1-130),51%,25 (1-130)
isolation_manual_tracing_met_limit,59%,17 (1-100),63%,17 (1-100),56%,17 (1-100)
isolation_manual_tracing_met_only_cell_met_limit,61%,21 (1-110),64%,21 (1-110),58%,21 (1-120)
pop_testing,1.6%,0 (0-0),1.7%,0 (0-0),2%,0 (0-0)
