scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.61435,0,2.61435,0,0,0,0,0.5196,0.2464,0,52%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_only,2.60205,1.02685,1.5752,0,0,0,0,0.37915,0.11355,0.39463115620376243,38%,1.6,39%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
hh_quaratine_only,2.604,1.2574,1.3466,2,2.1,0,4,0.3043,0.1004,0.4828725038402458,30%,1.4,48%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.6,0.5,0
hh_work_only,2.6201,1.4625,1.1576,13,30,1,111,0.2543,0.08565,0.5581848021067899,25%,1.2,56%,13 (1-110),140000,27000,5400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only,2.6103,1.4989,1.1114,21,35,1,114,0.2399,0.0834,0.5742251848446539,24%,1.1,57%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,2.5978,1.62945,0.96835,17,32,1,105,0.2117,0.0664,0.6272422819308645,21%,0.97,63%,17 (1-100),140000,29000,5800,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.59355,1.5519,1.04165,29,46,1,141,0.22545,0.08095,0.5983690308650306,23%,1.1,60%,29 (1-140),210000,41000,8300,0,4,0.95,0.53,0.6,0.5,0
cell_phone,2.5834,1.34965,1.23375,4,17,1,70,0.2752,0.0905,0.5224316791824728,28%,1.2,52%,4 (1-70),76000,15000,3100,0,4,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.56985,1.5086,1.06125,4,14,1,53,0.2401,0.0702,0.5870381539778586,24%,1.1,59%,4 (1-53),63000,13000,2500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell,2.56875,1.50585,1.0629,25,40,1,127,0.22955,0.07955,0.5862189781021898,23%,1.1,59%,25 (1-130),180000,36000,7200,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.61155,1.66,0.95155,21,35,1,112,0.2054,0.0647,0.635637839597174,21%,0.95,64%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
pop_testing,2.62075,0.04345,2.5773,0,0,0,0,0.512,0.24275,0.016579223504721963,51%,2.6,1.7%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_outside,2.59835,1.22865,1.3697,0,0,0,0,0.31005,0.10175,0.4728577751265226,31%,1.4,47%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
