scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticC,prob_t_asymp
isolation_only,2.65,0.513,2.137,0,0,0,0,0.467,0.213,0.19358490566037734,47%,1.7,19%,0 (0-0),0,0,0,0,4,0.95,0.53,0.4,0.5
hh_quaratine_only,2.676,0.7762,1.8998,2,2.1,0,4,0.408,0.177,0.2900597907324365,41%,1.5,29%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.4,0.5
hh_work_only,2.678,1.3796,1.2984,14,29,1,111,0.304,0.122,0.515160567587752,30%,1,52%,14 (1-110),130000,26000,5200,0,4,0.95,0.53,0.4,0.5
isolation_manual_tracing_met_only,2.947,1.6598,1.2872,21,37,1,132,0.297,0.1,0.563216830675263,30%,0.93,56%,21 (1-130),170000,33000,6700,0,4,0.95,0.53,0.4,0.5
isolation_manual_tracing_met_limit,2.742,1.8258,0.9162,17,31,1,105,0.224,0.049,0.6658643326039387,22%,0.71,67%,17 (1-100),140000,28000,5600,0,4,0.95,0.53,0.4,0.5
isolation_manual_tracing,2.809,1.8204,0.9886,30,46,2,144,0.215,0.067,0.648059807760769,22%,0.75,65%,30 (2-140),210000,41000,8300,0,4,0.95,0.53,0.4,0.5
cell_phone,2.945,1.22,1.725,4,18,1,79.05,0.348,0.144,0.4142614601018675,35%,1.3,41%,4 (1-79),81000,16000,3200,0,4,0.95,0.53,0.4,0.5
cell_phone_met_limit,2.868,1.433,1.435,4,14,0,56,0.297,0.114,0.4996513249651324,30%,1.1,50%,4 (0-56),63000,13000,2500,0,4,0.95,0.53,0.4,0.5
isolation_manual_tracing_met_only_cell,2.779,1.7902,0.9888,24,40,1,138.05,0.237,0.074,0.6441885570349046,24%,0.76,64%,24 (1-140),180000,36000,7200,0,4,0.95,0.53,0.4,0.5
isolation_manual_tracing_met_only_cell_met_limit,2.665,1.8386,0.8264,21,34,1,104.2,0.207,0.055,0.6899061913696061,21%,0.66,69%,21 (1-100),150000,31000,6100,0,4,0.95,0.53,0.4,0.5
