scenario,basic,r_diff,r_eff,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,r_effective,aboveX,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.636,0,2.636,1,1,1,0.504,0.261,0,2.64,"50%, 26%",0%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
isolation_only,2.667,0.522,2.145,1,1,1,0.445,0.193,0.19572553430821138,2.12,"44%, 19%",20%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.548,0.667,1.881,3.3,1,7,0.395,0.172,0.26177394034536894,1.95,"40%, 17%",26%,3.3,590,300,150,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.607,0.714,1.893,3.5,1,8,0.399,0.154,0.2738780207134638,1.91,"40%, 15%",27%,3.5,630,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.636,0.676,1.96,3.5,1,8,0.404,0.181,0.2564491654021245,1.96,"40%, 18%",26%,3.5,630,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.71,0.999,1.711,3.4,1,8,0.34,0.141,0.36863468634686347,1.66,"34%, 14%",37%,3.4,610,310,150,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.58,0.95,1.63,3.4,1,8,0.344,0.136,0.368217054263566,1.67,"34%, 14%",37%,3.4,610,310,150,0,4,0.95,0.53,0.6,0.5
cell_phone,2.515,1.128,1.387,13,1,47.05,0.336,0.116,0.4485089463220676,1.45,"34%, 12%",45%,13,2300,1200,580,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.508,1.142,1.366,14,1,49,0.305,0.106,0.4553429027113237,1.44,"30%, 11%",46%,14,2500,1300,630,0,4,0.95,0.53,0.6,0.5
pop_testing,2.343,0.428,1.915,1,1,1,0.437,0.168,0.18267178830559105,2.15,"44%, 17%",18%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
pt_extra,2.624,1.065,1.559,1,1,1,0.358,0.122,0.4058689024390244,1.57,"36%, 12%",41%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
