scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,contactsR1,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.6076,0,2.6076,0,0,0,0,0.50008,0.24392,0,50%,2.6,0%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_only,2.58776,0.45616,2.1316,0,0,0,0,0.44836,0.19272,0.17627600704856694,45%,2.1,18%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
hh_quaratine_only,2.55564,0.636256,1.919384,2,2.1,0,4,0.4058,0.17344,0.24896151257610621,41%,2,25%,2 (0-4),38000,9400,1900,128000,0,4,0.95,0.53,0.7,0.5,0
hh_work_only,2.57772,1.212792,1.364928,13,30,1,108,0.32196,0.11096,0.4704902006424282,32%,1.4,47%,13 (1-110),540000,140000,27000,1830000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only,2.5708,1.311232,1.259568,21,35,1,114,0.29752,0.10084,0.5100482340127588,30%,1.3,51%,21 (1-110),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_limit,2.58404,1.539984,1.044056,17,31,1,106,0.25564,0.06872,0.595959814863547,26%,1.1,60%,17 (1-110),560000,140000,28000,1890000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing,2.5712,1.525672,1.045528,29,46,1,143,0.24328,0.0762,0.5933696328562539,24%,1.1,59%,29 (1-140),830000,210000,41000,2810000,0,4,0.95,0.53,0.7,0.5,0
cell_phone,2.57992,0.98824,1.59168,4,17,1,70,0.34296,0.13112,0.3830506372290614,34%,1.6,38%,4 (1-70),310000,76000,15000,1040000,0,4,0.95,0.53,0.7,0.5,0
cell_phone_met_limit,2.57188,1.20484,1.36704,4,14,1,53,0.30032,0.10416,0.4684666469664215,30%,1.4,47%,4 (1-53),250000,63000,13000,855000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell,2.57576,1.446528,1.129232,25,41,1,131,0.26432,0.08776,0.5615926949715812,26%,1.1,56%,25 (1-130),740000,180000,37000,2500000,0,4,0.95,0.53,0.7,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.58636,1.626856,0.959504,21,35,1,112,0.22532,0.06288,0.6290137490527228,23%,0.97,63%,21 (1-110),630000,160000,32000,2140000,0,4,0.95,0.53,0.7,0.5,0
pop_testing,2.60564,0.04332,2.56232,0,0,0,0,0.49456,0.2412,0.01662547397184566,49%,2.6,1.7%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
isolation_outside,2.59648,0.51916,2.07732,0,0,0,0,0.43428,0.19032,0.19994762139511968,43%,2.1,20%,0 (0-0),0,0,0,0,0,4,0.95,0.53,0.7,0.5,0
