scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.59145,0,2.59145,0,0,0,0,0.51405,0.244,0,51%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_only,2.62485,0.39025,2.2346,0,0,0,0,0.476,0.20405,0.14867516239023182,48%,2.2,15%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
hh_quaratine_only,2.567,0.62631,1.94069,2,2.1,0,4,0.41965,0.1751,0.2439851967276977,42%,2,24%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.6,0.5,0
hh_work_only,2.6011,1.11113,1.48997,13,30,1,108,0.35005,0.1229,0.4271769635923264,35%,1.5,43%,13 (1-110),140000,27000,5400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only,2.58825,1.21029,1.37796,21,35,1,112,0.3273,0.1101,0.46760938858301937,33%,1.4,47%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,2.6028,1.45517,1.14763,17,31,1,102,0.28215,0.0757,0.5590786844936222,28%,1.1,56%,17 (1-100),140000,28000,5600,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.589,1.394,1.195,30,45,1,142,0.28385,0.0912,0.5384318269602163,28%,1.2,54%,30 (1-140),200000,40000,8100,0,4,0.95,0.53,0.6,0.5,0
cell_phone,2.59645,0.9267,1.66975,4,17,0,72,0.36385,0.1419,0.3569103968880587,36%,1.7,36%,4 (0-72),76000,15000,3100,0,4,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.59895,1.16505,1.4339,4,14,0,52,0.32395,0.1056,0.4482771888647338,32%,1.4,45%,4 (0-52),63000,13000,2500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell,2.60505,1.33275,1.2723,25,41,1,131,0.2968,0.0964,0.5116024644440605,30%,1.3,51%,25 (1-130),180000,37000,7400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.62905,1.53496,1.09409,21,36,1,115,0.26445,0.0743,0.5838458758867271,26%,1.1,58%,21 (1-120),160000,32000,6500,0,4,0.95,0.53,0.6,0.5,0
pop_testing,2.6384,0.05145,2.58695,0,0,0,0,0.5133,0.2409,0.01950045482110374,51%,2.5,2%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_outside,2.57155,0.45905,2.1125,0,0,0,0,0.45265,0.18685,0.17851101475763642,45%,2.1,18%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
