scenario,basic,r_diff,r_eff,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,r_effective,aboveX,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.413,0,2.413,1,1,1,0.498,0.228,0,2.41,"50%, 23%",0%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
isolation_only,2.468,1.123,1.345,1,1,1,0.305,0.124,0.45502431118314424,1.32,"30%, 12%",46%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.434,1.2,1.234,3.4,1,8,0.277,0.108,0.49301561216105183,1.22,"28%, 11%",49%,3.4,610,310,150,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.528,1.21,1.318,3.4,1,7,0.303,0.111,0.4786392405063291,1.26,"30%, 11%",48%,3.4,610,310,150,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.664,1.302,1.362,3.3,1,8,0.304,0.11,0.48873873873873874,1.23,"30%, 11%",49%,3.3,590,300,150,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.723,1.614,1.109,3.4,1,8,0.246,0.075,0.5927286081527727,0.983,"25%, 7.5%",59%,3.4,610,310,150,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.616,1.527,1.089,3.3,1,7,0.236,0.08,0.5837155963302753,1,"24%, 8%",58%,3.3,590,300,150,0,4,0.95,0.53,0.6,0.5
cell_phone,2.41,1.481,0.929,12,1,42,0.225,0.061,0.6145228215767635,0.93,"22%, 6.1%",61%,12,2200,1100,540,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.552,1.501,1.051,13,1,48,0.224,0.077,0.588166144200627,0.994,"22%, 7.7%",59%,13,2300,1200,580,0,4,0.95,0.53,0.6,0.5
pop_testing,2.58,0.375,2.205,1,1,1,0.449,0.199,0.14534883720930236,2.06,"45%, 20%",15%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
pt_extra,2.667,1.599,1.068,1,1,1,0.236,0.084,0.5995500562429696,0.966,"24%, 8.4%",60%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
